Scaling Factor: 111 pixels = 12 micrometers

 ,Area,Mean,Min,Max
1,472,25.970,18,38
2,420,28.533,19,49
3,344,24.942,19,33
4,420,26.910,20,37
5,229,27.127,20,35
6,96,26.635,22,33
7,177,30.966,25,37
8,192,27.167,19,38
9,151,28.755,23,38
10,115,25.791,21,30
11,177,28.977,24,37
12,344,24.308,19,32
13,328,26.445,17,39
14,366,25.874,20,34
15,281,29.694,22,39
16,380,24.979,18,37
17,214,28.477,20,42
18,384,24.685,18,35
19,137,27.839,22,37
20,137,30.212,26,37
21,216,26.292,19,35
22,80,31.288,23,45
23,398,26.357,19,35
24,216,25.755,19,36
25,192,25.396,20,32
26,293,26.635,17,35
27,240,30.250,24,42
28,255,27.259,22,35
29,115,27.348,21,38
30,302,24.361,17,36
31,288,24.257,17,33
32,151,25.159,20,36
33,225,25.484,19,33
34,514,25.117,18,37
35,274,26.562,18,43
36,590,23.298,17,35
37,238,24.773,19,31
38,176,27.790,21,33
39,164,22.671,19,27
40,124,27.887,21,35
41,96,29.062,21,36
42,146,29.027,22,38
43,612,23.725,16,32
44,255,25.553,20,36
45,344,24.701,18,32
46,448,25.942,18,36
47,164,29.701,24,39
48,207,30.111,22,41
49,166,29.295,24,36
50,214,29.883,22,41
51,383,27.762,17,47
52,413,25.797,18,41
53,225,28.827,21,41
54,208,28.385,22,37
55,60,31.633,26,41
56,177,29.814,24,39
57,104,30.163,21,39
58,320,28.394,20,40
59,300,27.243,20,41
60,166,29.151,22,40
61,228,29.588,22,39
62,274,29.690,21,41
63,383,26.164,21,37
64,208,30.317,25,41
65,326,26.503,20,37
66,140,29.000,25,37
67,255,30.200,24,46
68,349,27.656,20,38
69,146,29.021,22,38
70,216,29.560,22,42
71,274,28.934,24,42
72,344,27.924,21,38
73,200,32.090,21,45
74,436,26.998,19,43
75,214,27.411,20,38
76,532,25.096,17,42
77,300,28.513,21,38
78,124,31.766,24,43
79,216,29.819,24,45
80,293,28.099,20,41
81,216,28.824,23,40
82,366,26.699,18,39
83,436,27.599,19,45
84,349,25.926,19,36
85,238,26.668,19,35
86,421,25.862,19,34
87,207,28.758,24,40
88,192,28.599,20,37
89,300,27.317,19,42
90,436,20.775,14,30
91,208,23.312,16,32
92,288,24.674,19,35
93,451,23.743,18,37
94,229,27.572,20,35
95,364,25.052,18,41
96,300,24.963,19,32
97,489,25.045,17,33
98,383,26.658,17,44
99,302,28.599,20,39
100,136,25.544,19,35
