Point No.	Angular Frequency	Storage Modulus	Loss Modulus	Loss Factor	Shear Strain	Complex Viscosity	Torque	Status
								
	[rad/s]	[Pa]	[Pa]	[1]	[%]	[Pa·s]	[mN·m]	
1	600	37.505	19.739	0.526	1	0.070637	0.038839	TruStrain™
2	336	41.496	45.975	1.108	1	0.18435	0.056866	TruStrain™
3	188	39.228	37.419	0.954	1.01	0.2882	0.049818	TruStrain™
4	105	32.93	25.492	0.774	1.01	0.39539	0.038268	TruStrain™
5	59	28.565	17.861	0.625	1	0.57129	0.03093	TruStrain™
6	33	25.247	13.085	0.518	1.01	0.86121	0.026118	TruStrain™
7	18.5	22.337	9.7138	0.435	1.01	1.3175	0.022373	TruStrain™
8	10.4	20.19	7.4528	0.369	1.01	2.079	0.019766	TruStrain™
9	5.8	18.377	5.9698	0.325	1.01	3.3337	0.017746	TruStrain™
10	3.25	16.848	4.9817	0.296	1.01	5.4135	0.016136	TruStrain™
11	1.82	15.451	4.3906	0.284	1.01	8.8399	0.014753	TruStrain™
12	1.02	14.149	4.0137	0.284	1.01	14.455	0.013508	TruStrain™
13	0.57	12.896	3.7868	0.294	1.01	23.593	0.012344	TruStrain™
14	0.319	11.694	3.6332	0.311	1.01	38.391	0.011247	WMa,TruStrain™
15	0.179	10.562	3.5362	0.335	1.01	62.364	0.01023	WMa,TruStrain™
16	0.1	9.4797	3.4811	0.367	1.01	100.99	0.009275	WMa,TruStrain™
