Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
						
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	0.5	7.7765	15552	24.93	0.71064	Dy_auto
2	0.557	11.357	20382	24.92	1.0378	Dy_auto
3	0.621	13.211	21272	24.91	1.2072	Dy_auto
4	0.692	14.753	21315	24.9	1.3481	Dy_auto
5	0.771	16.225	21033	24.89	1.4827	Dy_auto
6	0.86	17.661	20541	24.88	1.6139	Dy_auto
7	0.958	19.074	19905	24.87	1.743	Dy_auto
8	1.07	20.479	19176	24.86	1.8714	Dy_auto
9	1.19	21.895	18395	24.84	2.0009	Dy_auto
10	1.33	23.304	17567	24.83	2.1296	Dy_auto
11	1.48	24.74	16733	24.82	2.2608	Dy_auto
12	1.65	26.175	15885	24.81	2.392	Dy_auto
13	1.84	27.616	15037	24.8	2.5236	Dy_auto
14	2.05	29.088	14211	24.79	2.6582	Dy_auto
15	2.28	30.571	13401	24.78	2.7937	Dy_auto
16	2.54	32.063	12611	24.76	2.93	Dy_auto
17	2.83	33.576	11849	24.75	3.0683	Dy_auto
18	3.16	35.119	11120	24.74	3.2093	Dy_auto
19	3.52	36.665	10417	24.73	3.3506	Dy_auto
20	3.92	38.254	9751.5	24.72	3.50E+00	Dy_auto
21	4.37	39.891	9123.9	24.71	3.6454	Dy_auto
22	4.87	41.505	8517.5	24.7	3.7929	Dy_auto
23	5.43	43.139	7943.2	24.69	3.9422	Dy_auto
24	6.05	44.934	7423.7	24.68	4.1063	Dy_auto
25	6.75	46.617	6910.4	24.68	4.26	Dy_auto
26	7.52	48.429	6441.3	24.67	4.4256	Dy_auto
27	8.38	50.321	6005.1	24.66	4.5985	Dy_auto
28	9.34	52.176	5586.7	24.66	4.768	Dy_auto
29	10.4	54.085	5196.1	24.65	4.9425	Dy_auto
30	11.6	56.092	4835.2	24.65	5.1258	Dy_auto
31	12.9	58.222	4503.2	24.65	5.3206	Dy_auto
32	14.4	60.563	4202.9	24.65	5.5344	Dy_auto
33	16.1	62.962	3920.4	24.65	5.7537	Dy_auto
34	17.9	65.637	3667	24.65	5.9982	Dy_auto
35	19.9	68.597	3438.6	24.65	6.2686	Dy_auto
36	22.2	71.572	3219	24.66	6.5405	Dy_auto
37	24.8	74.91	3023	24.66	6.8455	Dy_auto
38	27.6	78.397	2838.6	24.66	7.1641	Dy_auto
39	30.8	82.048	2665.6	24.67	7.4979	Dy_auto
40	34.3	86.298	2515.6	24.68	7.8862	Dy_auto
41	38.2	90.241	2360.2	24.69	8.2465	Dy_auto
42	42.6	94.732	2223.1	24.7	8.657	Dy_auto
43	47.5	99.457	2094.2	24.71	9.0887	Dy_auto
44	52.9	104.33	1971.1	24.73	9.5343	Dy_auto
45	59	109.72	1859.8	24.74	10.026	Dy_auto
46	65.7	115.74	1760.4	24.76	10.577	Dy_auto
47	73.3	122.11	1666.3	24.78	11.159	Dy_auto
48	81.7	129.05	1580.1	24.8	11.793	Dy_auto
49	91	136.32	1497.7	24.82	12.458	Dy_auto
50	101	143.75	1417	24.83	13.136	Dy_auto
51	113	151.42	1339.2	24.85	13.838	Dy_auto
52	126	159.48	1265.6	24.86	14.574	Dy_auto
53	140	167.94	1195.8	24.88	15.347	Dy_auto
54	157	176.81	1129.6	24.89	16.158	Dy_auto
55	174	186.06	1066.5	24.91	17.002	Dy_auto
56	194	195.67	1006.4	24.92	17.881	Dy_auto
57	217	205.6	948.8	24.93	18.789	Dy_auto
58	242	215.86	893.77	24.94	19.726	Dy_auto
59	269	226.43	841.2	24.94	20.692	Dy_auto
60	300	237.25	790.84	24.96	21.681	Dy_auto
