Point No.	Angular Frequency	Storage Modulus	Loss Modulus	Loss Factor	Shear Strain	Complex Viscosity	Torque	Status
								
	[rad/s]	[Pa]	[Pa]	[1]	[%]	[Pa·s]	[mN·m]	
1	1	47.297	5.0361	0.106	0.101	47.564	0.0043688	WMa,TruStrain™
2	1	47.149	5.2492	0.111	0.163	47.441	0.0070751	WMa,TruStrain™
3	1	46.751	5.4881	0.117	0.265	47.072	0.011399	WMa,TruStrain™
4	1	46.168	5.9592	0.129	0.43	46.552	0.018305	WMa,TruStrain™
5	1	44.933	6.8535	0.153	0.699	45.453	0.029022	WMa,TruStrain™
6	1	43.231	8.6076	0.199	1.13	44.079	0.045701	WMa,TruStrain™
7	1	40.312	10.976	0.272	1.84	41.78	0.070336	WMa,TruStrain™
8	1	35.188	13.888	0.395	2.99	37.83	0.10341	WMa,TruStrain™
9	1	27.633	16.137	0.584	4.86	32	0.14204	WMa,TruStrain™
10	1	19.338	16.03	0.829	7.89	25.119	0.18105	WMa,TruStrain™
11	1	11.682	13.811	1.182	12.8	18.089	0.21171	WMa,TruStrain™
12	1	6.1487	10.677	1.736	20.8	12.321	0.23415	WMa,TruStrain™
13	1	3.0948	7.8198	2.527	33.8	8.4099	0.25951	WMa,TruStrain™
14	1	1.6224	5.629	3.47	54.8	5.8582	0.29353	WMa,TruStrain™
15	1	0.87553	4.0384	4.613	89	4.1322	0.33621	WMa,TruStrain™
16	1	0.48398	2.9091	6.011	145	2.9491	0.38962	WMa,TruStrain™
17	1	0.26961	2.1025	7.798	235	2.1197	0.45473	WMa,TruStrain™
18	1	0.15162	1.5251	10.059	381	1.5326	0.53387	WMa,TruStrain™
19	1	0.084942	1.1079	13.043	619	1.1111	0.62847	WMa,TruStrain™
20	1	0.048637	0.81284	16.712	1.01E+03	0.81429	0.74788	WMa,TruStrain™
