Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status		reg	Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
															
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]					[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	0.75	2.7764	3702.3	24.98	0.25371	Dy_auto			1	0.1	4.0004	40004			
2	0.83	2.8841	3474.5	24.98	0.26356	Dy_auto			2	0.107	4.0067	37367			
3	0.919	3.003	3268.6	24.98	0.27443	Dy_auto			3	0.115	4.0134	34906			
4	1.02	3.1055	3053.8	24.98	0.28379	Dy_auto			4	0.123	4.0204	32610			
5	1.13	3.2035	2846	24.98	0.29275	Dy_auto			5	0.132	4.0277	30468			
6	1.25	3.3028	2650.8	24.98	0.30182	Dy_auto			6	0.142	4.0354	28469			
7	1.38	3.3968	2462.8	24.99	0.31041	Dy_auto			7	0.152	4.0434	26603			
8	1.53	3.4899	2286.2	24.99	0.31892	Dy_auto			8	0.163	4.0518	24862			
9	1.69	3.593	2126.3	24.99	0.32834	Dy_auto			9	0.175	4.0607	23237			
10	1.87	3.6889	1972.2	24.99	0.3371	Dy_auto			10	0.187	4.0699	21720			
11	2.07	3.8018	1836.4	24.99	0.34742	Dy_auto			11	0.201	4.0796	20304			
12	2.29	3.9109	1706.6	24.99	0.35739	Dy_auto			12	0.215	4.0898	18983			
13	2.54	4.0288	1588.4	24.99	0.36817	Dy_auto			13	0.231	4.1005	17750			
14	2.81	4.1285	1470.4	24.99	0.37727	Dy_auto			14	0.248	4.1116	16599			
15	3.11	4.2557	1369.4	24.99	0.3889	Dy_auto			15	0.266	4.1234	15524			
16	3.44	4.3937	1277.3	24.99	0.40151	Dy_auto			16	0.285	4.1356	14521			
17	3.81	4.5419	1192.8	24.99	0.41506	Dy_auto			17	0.305	4.1485	13584			
18	4.21	4.7485	1126.7	24.99	0.43394	Dy_auto			18	0.327	4.162	12710			
19	4.67	4.9152	1053.6	24.99	0.44917	Dy_auto			19	0.351	4.1761	11894			
20	5.16	5.0927	986.24	24.99	4.65E-01	Dy_auto			20	0.376	4.1909	11132			
21	5.72	5.2922	925.89	25	0.48362	Dy_auto			21	0.404	4.2065	10420			
22	6.33	5.5415	875.89	25	0.5064	Dy_auto			22	0.433	4.2227	9755.1			
23	7	5.8074	829.27	25	0.5307	Dy_auto			23	0.464	4.2398	9134.4			
24	7.75	6.0577	781.47	25	0.55357	Dy_auto			24	0.498	4.2577	8554.7			
25	8.58	6.3055	734.88	25	0.57622	Dy_auto			25	0.534	4.2764	8013.2			
26	9.5	6.5805	692.88	25	0.60135	Dy_auto			26	0.572	4.2961	7507.5			
27	10.5	6.8335	650.03	25	0.62447	Dy_auto			27	0.614	4.3166	7035.1			
28	11.6	7.0681	607.42	24.99	0.64591	Dy_auto			28	0.658	4.3382	6593.7			
29	12.9	7.3233	568.57	25	0.66923	Dy_auto			29	0.705	4.3608	6181.4			
30	14.3	7.6037	533.34	24.99	0.69486	Dy_auto			30	0.756	4.3845	5796.1			
31	15.8	7.9019	500.73	25	0.7221	Dy_auto			31	0.811	4.4094	5436.1			
32	17.5	8.2314	471.24	25	0.75221	Dy_auto			32	0.87	4.4354	5099.7			
33	19.3	8.5233	440.83	25	0.77889	Dy_auto			33	0.933	4.4627	4785.2			
34	21.4	8.9089	416.28	25	0.81413	Dy_auto			34	1	4.4913	4491.3			
35	23.7	9.3299	393.85	25	0.85259	Dy_auto			35	1.07	4.5213	4216.6			
36	26.2	9.5069	362.57	25	0.86877	Dy_auto			36	1.15	4.5527	3959.7			
37	29	9.8823	340.5	24.99	0.90308	Dy_auto			37	1.23	4.5857	3719.6			
38	32.1	10.194	317.33	25	0.9316	Dy_auto			38	1.32	4.6202	3495			
39	35.6	10.595	297.95	24.99	0.9682	Dy_auto			39	1.42	4.6564	3285			
40	39.4	11.147	283.21	24.99	1.0187	Dy_auto			40	1.52	4.6943	3088.5			
41	43.6	11.657	267.57	24.99	1.0653	Dy_auto			41	1.63	4.734	2904.8			
42	48.2	12.3	255.07	24.99	1.1241	Dy_auto			42	1.75	4.7757	2732.8			
43	53.4	12.901	241.68	24.99	1.1789	Dy_auto			43	1.87	4.8194	2572			
44	59.1	13.618	230.48	24.99	1.2444	Dy_auto			44	2.01	4.8651	2421.4			
45	65.4	14.329	219.1	25	1.3094	Dy_auto			45	2.15	4.9131	2280.5			
46	72.4	15.083	208.36	25	1.3783	Dy_auto			46	2.31	4.9634	2148.5			
47	80.1	15.872	198.08	25	1.4504	Dy_auto			47	2.48	5.0161	2025			
48	88.7	16.697	188.26	25	1.5259	Dy_auto			48	2.66	5.0713	1909.3			
49	98.2	17.562	178.89	25	1.6049	Dy_auto			49	2.85	5.1292	1801			
50	109	18.511	170.35	25	1.6916	Dy_auto			50	3.05	5.1899	1699.4			
51	120	19.549	162.53	25	1.7865	Dy_auto			51	3.27	5.2535	1604.3			
52	133	20.562	154.44	25	1.879	Dy_auto			52	3.51	5.3201	1515.2			
53	147	21.695	147.22	25	1.9826	Dy_auto			53	3.76	5.39	1431.6			
54	163	22.69	139.1	25	2.0735	Dy_auto			54	4.04	5.4632	1353.3			
55	181	24.076	133.35	25	2.2001	Dy_auto			55	4.33	5.5399	1279.8			
56	200	25.592	128.05	25	2.3387	Dy_auto			56	4.64	5.6204	1210.9			
57	221	27.233	123.11	25	2.4887	Dy_auto			57	4.98	5.7047	1146.2			
58	245	29.022	118.53	25	2.6521	Dy_auto			58	5.34	5.793	1085.5			
59	271	31.01	114.42	25	2.8338	Dy_auto			59	5.72	5.8857	1028.5			
60	300	33.037	110.12	25	3.019	Dy_auto			60	6.14	5.9827	975.04			
									61	6.58	6.0845	924.79			
									62	7.05	6.1911	877.57			
									63	7.56	6.3029	833.2			
									64	8.11	6.42	791.49			
									65	8.7	6.5428	752.26			
									66	9.33	6.6715	715.36			
									67	10	6.8064	680.64			
									68	10.7	6.9478	647.95			
									69	11.5	7.0959	617.17			
									70	12.3	7.2512	588.17			
									71	13.2	7.414	560.84			
									72	14.2	7.5846	535.08			
									73	15.2	7.7635	510.78			
									74	16.3	7.9509	487.86			
									75	17.5	8.1473	466.22			
									76	18.7	8.3532	445.79			
									77	20.1	8.569	426.48			
									78	21.5	8.7952	408.24			
									79	23.1	9.0323	390.99			
									80	24.8	9.2807	374.67			
									81	26.6	9.5412	359.22			
									82	28.5	9.8141	344.59			
									83	30.5	10.1	330.74			
									84	32.7	10.4	317.6			
									85	35.1	10.714	305.15			
									86	37.6	11.044	293.33			
									87	40.4	11.389	282.12			
									88	43.3	11.751	271.46			
									89	46.4	12.13	261.34			
									90	49.8	12.528	251.71			
									91	53.4	12.944	242.56			
									92	57.2	13.381	233.84			
									93	61.4	13.839	225.54			
									94	65.8	14.319	217.63			
									95	70.5	14.821	210.09			
									96	75.6	15.349	202.9			
									97	81.1	15.901	196.03			
									98	87	16.48	189.48			
									99	93.3	17.087	183.21			
									100	100	17.723	177.23			
