Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
						
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	0.1	4.0004	40004			
2	0.107	4.0067	37367			
3	0.115	4.0134	34906			
4	0.123	4.0204	32610			
5	0.132	4.0277	30468			
6	0.142	4.0354	28469			
7	0.152	4.0434	26603			
8	0.163	4.0518	24862			
9	0.175	4.0607	23237			
10	0.187	4.0699	21720			
11	0.201	4.0796	20304			
12	0.215	4.0898	18983			
13	0.231	4.1005	17750			
14	0.248	4.1116	16599			
15	0.266	4.1234	15524			
16	0.285	4.1356	14521			
17	0.305	4.1485	13584			
18	0.327	4.162	12710			
19	0.351	4.1761	11894			
20	0.376	4.1909	11132			
21	0.404	4.2065	10420			
22	0.433	4.2227	9755.1			
23	0.464	4.2398	9134.4			
24	0.498	4.2577	8554.7			
25	0.534	4.2764	8013.2			
26	0.572	4.2961	7507.5			
27	0.614	4.3166	7035.1			
28	0.658	4.3382	6593.7			
29	0.705	4.3608	6181.4			
30	0.756	4.3845	5796.1			
31	0.811	4.4094	5436.1			
32	0.87	4.4354	5099.7			
33	0.933	4.4627	4785.2			
34	1	4.4913	4491.3			
35	1.07	4.5213	4216.6			
36	1.15	4.5527	3959.7			
37	1.23	4.5857	3719.6			
38	1.32	4.6202	3495			
39	1.42	4.6564	3285			
40	1.52	4.6943	3088.5			
41	1.63	4.734	2904.8			
42	1.75	4.7757	2732.8			
43	1.87	4.8194	2572			
44	2.01	4.8651	2421.4			
45	2.15	4.9131	2280.5			
46	2.31	4.9634	2148.5			
47	2.48	5.0161	2025			
48	2.66	5.0713	1909.3			
49	2.85	5.1292	1801			
50	3.05	5.1899	1699.4			
51	3.27	5.2535	1604.3			
52	3.51	5.3201	1515.2			
53	3.76	5.39	1431.6			
54	4.04	5.4632	1353.3			
55	4.33	5.5399	1279.8			
56	4.64	5.6204	1210.9			
57	4.98	5.7047	1146.2			
58	5.34	5.793	1085.5			
59	5.72	5.8857	1028.5			
60	6.14	5.9827	975.04			
61	6.58	6.0845	924.79			
62	7.05	6.1911	877.57			
63	7.56	6.3029	833.2			
64	8.11	6.42	791.49			
65	8.7	6.5428	752.26			
66	9.33	6.6715	715.36			
67	10	6.8064	680.64			
68	10.7	6.9478	647.95			
69	11.5	7.0959	617.17			
70	12.3	7.2512	588.17			
71	13.2	7.414	560.84			
72	14.2	7.5846	535.08			
73	15.2	7.7635	510.78			
74	16.3	7.9509	487.86			
75	17.5	8.1473	466.22			
76	18.7	8.3532	445.79			
77	20.1	8.569	426.48			
78	21.5	8.7952	408.24			
79	23.1	9.0323	390.99			
80	24.8	9.2807	374.67			
81	26.6	9.5412	359.22			
82	28.5	9.8141	344.59			
83	30.5	10.1	330.74			
84	32.7	10.4	317.6			
85	35.1	10.714	305.15			
86	37.6	11.044	293.33			
87	40.4	11.389	282.12			
88	43.3	11.751	271.46			
89	46.4	12.13	261.34			
90	49.8	12.528	251.71			
91	53.4	12.944	242.56			
92	57.2	13.381	233.84			
93	61.4	13.839	225.54			
94	65.8	14.319	217.63			
95	70.5	14.821	210.09			
96	75.6	15.349	202.9			
97	81.1	15.901	196.03			
98	87	16.48	189.48			
99	93.3	17.087	183.21			
100	100	17.723	177.23			
