Point No.	Angular Frequency	Storage Modulus	Loss Modulus	Loss Factor	Shear Strain	Complex Viscosity	Torque	Status
								
	[rad/s]	[Pa]	[Pa]	[1]	[%]	[Pa·s]	[mN·m]	
1	600	10.637	161.33	15.167	1	0.26946	0.14814	TruStrain™
2	380	32.319	199.24	6.165	1	0.53177	0.18536	TruStrain™
3	240	30.958	170.94	5.522	1.01	0.72343	0.15955	TruStrain™
4	152	21.371	123.22	5.766	1.01	0.82324	0.11486	TruStrain™
5	96.1	13.775	87.092	6.322	1.01	0.91747	0.081004	TruStrain™
6	60.8	8.3825	61.074	7.286	1	1.0139	0.05661	TruStrain™
7	38.5	5.0056	42.73	8.537	1.01	1.1185	0.039513	TruStrain™
8	24.3	2.9582	29.774	10.065	1.01	1.2296	0.027481	TruStrain™
9	15.4	2.2181	21.621	9.748	1.01	1.4119	0.019962	TruStrain™
10	9.74	1.4768	15.41	10.435	1.01	1.5896	0.014218	TruStrain™
11	6.16	1.0037	11.022	10.982	1.01	1.7964	0.010165	TruStrain™
12	3.9	0.71212	7.9367	11.145	1.01	2.0445	0.0073188	TruStrain™
13	2.47	0.52828	5.8127	11.003	1.01	2.3671	0.0053607	TruStrain™
14	1.56	0.43569	4.4126	10.128	1.01	2.8425	0.0040725	TruStrain™
15	0.987	0.40503	3.5358	8.73	1.01	3.6064	0.0032687	TruStrain™
16	0.624	0.43301	3.0262	6.989	1.01	4.8966	0.0028076	TruStrain™
17	0.395	0.50581	2.7289	5.395	1.01	7.027	0.002549	WMa,TruStrain™
18	0.25	0.66848	2.6591	3.978	1.01	10.973	0.0025182	WMa,TruStrain™
19	0.158	0.84063	2.6692	3.175	1.01	17.704	0.0025702	WMa,TruStrain™
20	0.1	0.99355	2.6963	2.714	1.01	28.735	0.0026391	WMa,TruStrain™

