Point No.	Angular Frequency	Storage Modulus	Loss Modulus	Loss Factor	Shear Strain	Complex Viscosity	Torque	Status
								
	[rad/s]	[Pa]	[Pa]	[1]	[%]	[Pa·s]	[mN·m]	
1	1	7.7012	16.156	2.098	0.101	17.898	0.001644	WMa,TruStrain™
2	1	8.4682	17.203	2.032	0.163	19.174	0.0028596	WMa,TruStrain™
3	1	9.2213	18.272	1.982	0.265	20.467	0.0049565	WMa,TruStrain™
4	1	9.953	19.29	1.938	0.43	21.706	0.0085353	WMa,TruStrain™
5	1	10.661	20.293	1.903	0.699	22.923	0.014637	WMa,TruStrain™
6	1	11.39	21.255	1.866	1.13	24.114	0.025001	WMa,TruStrain™
7	1	12.092	22.297	1.844	1.84	25.365	0.042702	WMa,TruStrain™
8	1	12.726	23.219	1.825	2.99	26.478	0.072381	WMa,TruStrain™
9	1	13.239	23.966	1.81	4.86	27.379	0.12153	WMa,TruStrain™
10	1	13.734	24.753	1.802	7.89	28.307	0.20403	WMa,TruStrain™
11	1	14.119	25.416	1.8	12.8	29.074	0.34027	WMa,TruStrain™
12	1	14.06	25.686	1.827	20.8	29.283	0.55649	WMa,TruStrain™
13	1	13.289	25.336	1.906	33.8	28.609	0.88284	WMa,TruStrain™
14	1	11.274	23.366	2.073	54.8	25.944	1.3	WMa,TruStrain™
15	1	7.5618	18.463	2.442	89	19.951	1.6233	WMa,TruStrain™
16	1	4.1461	12.881	3.107	145	13.532	1.7877	WMa,TruStrain™
17	1	2.25	8.8513	3.934	235	9.1328	1.9592	WMa,TruStrain™
18	1	1.2318	5.6602	4.595	381	5.7927	2.0179	WMa,TruStrain™
19	1	0.69531	2.8483	4.097	619	2.932	1.6584	WMa,TruStrain™
20	1	0.30228	1.4577	4.822	1.01E+03	1.4887	1.3673	WMa,TruStrain™
