Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
						
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	0.75	0.88525	1180.5	23.87	0.080898	Dy_auto
2	0.83	0.98312	1184.2	23.87	0.089841	Dy_auto
3	0.919	1.0894	1185.5	23.87	0.099553	Dy_auto
4	1.02	1.2061	1186.1	23.88	0.11022	Dy_auto
5	1.13	1.327	1178.9	23.88	0.12127	Dy_auto
6	1.25	1.4565	1169	23.89	0.1331	Dy_auto
7	1.38	1.5918	1154.1	23.89	0.14547	Dy_auto
8	1.53	1.7427	1141.6	23.9	0.15926	Dy_auto
9	1.69	1.9105	1130.7	23.91	0.17459	Dy_auto
10	1.87	2.1026	1124.2	23.93	0.19215	Dy_auto
11	2.07	2.3142	1117.8	23.94	0.21148	Dy_auto
12	2.29	2.5468	1111.4	23.96	0.23274	Dy_auto
13	2.54	2.8027	1104.9	23.98	0.25612	Dy_auto
14	2.81	3.0843	1098.6	24	0.28186	Dy_auto
15	3.11	3.3939	1092.1	24.02	0.31014	Dy_auto
16	3.44	3.7355	1085.9	24.05	0.34137	Dy_auto
17	3.81	4.1175	1081.4	24.08	0.37627	Dy_auto
18	4.21	4.5391	1077	24.11	0.4148	Dy_auto
19	4.67	5.0038	1072.6	24.14	0.45726	Dy_auto
20	5.16	5.5142	1067.8	24.18	5.04E-01	Dy_auto
21	5.72	6.08	1063.7	24.22	0.55561	Dy_auto
22	6.33	6.6863	1056.8	24.26	0.61102	Dy_auto
23	7	7.3387	1047.9	24.31	0.67064	Dy_auto
24	7.75	8.0392	1037.1	24.36	0.73465	Dy_auto
25	8.58	8.8054	1026.2	24.41	0.80467	Dy_auto
26	9.5	9.6397	1015	24.47	0.88091	Dy_auto
27	10.5	10.552	1003.7	24.52	0.96431	Dy_auto
28	11.6	11.571	994.39	24.58	1.0574	Dy_auto
29	12.9	12.711	986.87	24.64	1.1616	Dy_auto
30	14.3	13.918	976.24	24.71	1.2719	Dy_auto
31	15.8	15.272	967.71	24.77	1.3956	Dy_auto
32	17.5	16.764	959.7	24.83	1.5319	Dy_auto
33	19.3	18.54	958.86	24.9	1.6942	Dy_auto
34	21.4	20.326	949.74	24.96	1.8575	Dy_auto
35	23.7	22.255	939.45	25.02	2.0337	Dy_auto
36	26.2	24.815	946.35	25.08	2.2676	Dy_auto
37	29	26.676	919.12	25.14	2.4378	Dy_auto
38	32.1	29.352	913.65	25.19	2.6823	Dy_auto
39	35.6	31.644	889.87	25.25	2.8917	Dy_auto
40	39.4	34.369	873.18	25.29	3.1408	Dy_auto
41	43.6	37.088	851.26	25.33	3.3892	Dy_auto
42	48.2	39.974	828.9	25.37	3.6529	Dy_auto
43	53.4	42.87	803.11	25.4	3.9176	Dy_auto
44	59.1	46.109	780.38	25.42	4.2136	Dy_auto
45	65.4	48.607	743.21	25.44	4.4418	Dy_auto
46	72.4	52.283	722.23	25.45	4.7778	Dy_auto
47	80.1	54.787	683.74	25.45	5.0066	Dy_auto
48	88.7	57.628	649.74	25.45	5.2662	Dy_auto
49	98.2	60.021	611.38	25.44	5.4849	Dy_auto
50	109	62.027	570.81	25.42	5.6682	Dy_auto
51	120	58.716	488.16	25.4	5.3657	Dy_auto
52	133	53.985	405.49	25.38	4.9333	Dy_auto
53	147	46.738	317.14	25.35	4.2711	Dy_auto
54	163	34.621	212.23	25.31	3.1638	Dy_auto
55	181	28.569	158.23	25.28	2.6108	Dy_auto
56	200	23.775	118.96	25.24	2.1727	Dy_auto
57	221	11.206	50.655	25.21	1.024	Dy_auto
58	245	10.067	41.116	25.17	0.91999	Dy_auto
59	271	11.031	40.7	25.14	1.008	Dy_auto
60	300	12.313	41.044	25.11	1.1252	Dy_auto
