Point No.	Angular Frequency	Storage Modulus	Loss Modulus	Loss Factor	Shear Strain	Complex Viscosity	Torque	Status
								
	[rad/s]	[Pa]	[Pa]	[1]	[%]	[Pa·s]	[mN·m]	
1	600	0.0048822	97.645	20000	1	0.16274	0.089494	ME-,MV-,taD,TruStrain™
2	380	0.0010781	21.561	20000	1.01	0.056803	0.019803	ME-,taD,TruStrain™
3	240	0.0013956	27.913	20000	1	0.11624	0.025635	ME-,taD,TruStrain™
4	152	0.0010841	21.682	20000	1.01	0.14272	0.019919	ME-,taD,TruStrain™
5	96.1	0.96418	17.685	18.342	1	0.18428	0.016265	TruStrain™
6	60.8	1.5111	15.433	10.213	1	0.25505	0.014241	TruStrain™
7	38.5	1.3427	13.781	10.264	1.01	0.35999	0.012729	TruStrain™
8	24.3	1.292	12.341	9.552	1.01	0.50992	0.011399	TruStrain™
9	15.4	2.1774	11.481	5.273	1.01	0.75908	0.010734	TruStrain™
10	9.74	2.4455	11.033	4.511	1	1.1604	0.010378	TruStrain™
11	6.16	2.1119	10.272	4.864	1.01	1.7021	0.0096315	TruStrain™
12	3.9	2.3637	9.7411	4.121	1.01	2.5718	0.0092067	TruStrain™
13	2.47	2.0892	9.3689	4.484	1.01	3.8929	0.008816	TruStrain™
14	1.56	1.0213	7.53	7.373	1.01	4.8714	0.0069795	TruStrain™
15	0.987	1.3993	7.359	5.259	1.01	7.5907	0.0068798	TruStrain™
16	0.624	1.0813	6.5493	6.057	1.01	10.632	0.0060965	TruStrain™
17	0.395	0.90989	4.0793	4.483	1.01	10.582	0.0038387	WMa,TruStrain™
18	0.25	0.76852	3.6667	4.771	1.01	14.994	0.0034408	WMa,TruStrain™
19	0.158	0.34899	2.5315	7.254	1.01	16.167	0.0023471	WMa,TruStrain™
20	0.1	0.70033	3.1983	4.567	1.01	32.741	0.0030071	WMa,TruStrain™
