Point No.	Angular Frequency	Storage Modulus	Loss Modulus	Loss Factor	Shear Strain	Complex Viscosity	Torque	Status
								
	[rad/s]	[Pa]	[Pa]	[1]	[%]	[Pa·s]	[mN·m]	
1	1	15.56	26.102	1.678	0.101	30.388	0.0027917	WMa,TruStrain™
2	1	7.458	18.582	2.492	0.163	20.023	0.0029868	WMa,TruStrain™
3	1	2.6593	10.197	3.835	0.265	10.538	0.0025527	WMa,TruStrain™
4	1	1.0474	6.0804	5.805	0.43	6.1699	0.0024265	WMa,TruStrain™
5	1	0.50292	3.5401	7.039	0.699	3.5756	0.0022831	WMa,TruStrain™
6	1	0.31335	2.5792	8.231	1.13	2.5981	0.0026938	WMa,TruStrain™
7	1	0.2145	1.8281	8.523	1.84	1.8406	0.0030987	WMa,TruStrain™
8	1	0.13602	1.3366	9.826	2.99	1.3435	0.0036726	WMa,TruStrain™
9	1	0.095441	0.94528	9.904	4.86	0.95009	0.0042172	WMa,TruStrain™
10	1	0.051118	0.68732	13.446	7.89	0.68922	0.0049676	WMa,TruStrain™
11	1	0.031382	0.50363	16.049	12.8	0.50461	0.0059057	WMa,TruStrain™
12	1	0.026784	0.3936	14.695	20.8	0.39451	0.0074972	WMa,TruStrain™
13	1	0.019003	0.34789	18.307	33.8	0.34841	0.010751	WMa,TruStrain™
14	1	0.019683	0.31411	15.958	54.8	0.31472	0.01577	WMa,TruStrain™
