Point No.	Shear Rate	Shear Stress	Viscosity	Temperature	Torque	Status
						
	[1/s]	[Pa]	[mPa·s]	[°C]	[mN·m]	
1	0.75	0.029724	39.624	25.03	0.0027163	Dy_auto
2	0.83	0.035944	43.314	25.03	0.0032847	Dy_auto
3	0.918	0.043196	47.033	25.03	0.0039474	Dy_auto
4	1.02	0.048314	47.508	25.04	0.0044151	Dy_auto
5	1.13	0.054134	48.093	25.04	0.004947	Dy_auto
6	1.25	0.071741	57.586	25.04	0.006556	Dy_auto
7	1.38	0.063021	45.699	25.05	0.0057591	Dy_auto
8	1.53	0.077055	50.475	25.05	0.0070415	Dy_auto
9	1.69	0.083246	49.27	25.05	0.0076073	Dy_auto
10	1.87	0.093326	49.904	25.06	0.0085284	Dy_auto
11	2.07	0.10624	51.322	25.06	0.0097088	Dy_auto
12	2.29	0.11488	50.125	25.06	0.010498	Dy_auto
13	2.54	0.12897	50.857	25.06	0.011786	Dy_auto
14	2.81	0.14535	51.771	25.07	0.013283	Dy_auto
15	3.11	0.16125	51.889	25.07	0.014735	Dy_auto
16	3.44	0.18036	52.44	25.08	0.016482	Dy_auto
17	3.81	0.19992	52.509	25.08	0.018269	Dy_auto
18	4.21	0.22335	52.997	25.08	0.02041	Dy_auto
19	4.66	0.24881	53.336	25.08	0.022737	Dy_auto
20	5.16	0.27597	53.443	25.09	0.025219	Dy_auto
21	5.72	0.30499	53.361	25.09	0.027871	Dy_auto
22	6.33	0.3332	52.665	25.1	0.030449	Dy_auto
23	7	0.36349	51.905	25.1	0.033217	Dy_auto
24	7.75	0.39155	50.511	25.1	0.035781	Dy_auto
25	8.58	0.42474	49.502	25.1	0.038815	Dy_auto
26	9.5	0.47239	49.739	25.1	0.043168	Dy_auto
27	10.5	0.52274	49.724	25.11	0.047769	Dy_auto
28	11.6	0.58634	50.388	25.11	0.053581	Dy_auto
29	12.9	0.65302	50.699	25.11	0.059675	Dy_auto
30	14.3	0.70683	49.577	25.11	0.064593	Dy_auto
31	15.8	0.7679	48.66	25.1	0.070173	Dy_auto
32	17.5	0.86787	49.685	25.1	0.079309	Dy_auto
33	19.3	0.96168	49.737	25.1	0.087881	Dy_auto
34	21.4	1.0463	48.89	25.1	0.095616	Dy_auto
35	23.7	1.1937	50.391	25.1	0.10909	Dy_auto
36	26.2	1.2958	49.42	25.09	0.11842	Dy_auto
37	29	1.4414	49.664	25.09	0.13172	Dy_auto
38	32.1	1.6043	49.937	25.09	0.14661	Dy_auto
39	35.6	1.7712	49.808	25.08	0.16185	Dy_auto
40	39.4	1.9758	50.197	25.07	0.18055	Dy_auto
41	43.6	2.1828	50.101	25.07	0.19947	Dy_auto
42	48.2	2.4261	50.309	25.06	0.22171	Dy_auto
43	53.4	2.6914	50.421	25.05	0.24595	Dy_auto
44	59.1	2.9928	50.653	25.04	0.27349	Dy_auto
45	65.4	3.3311	50.935	25.03	0.30441	Dy_auto
46	72.4	3.708	51.222	25.02	0.33885	Dy_auto
47	80.1	4.1332	51.583	25.01	0.37771	Dy_auto
48	88.7	4.6114	51.993	25.01	0.42141	Dy_auto
49	98.2	5.1448	52.406	25	0.47015	Dy_auto
50	109	5.7417	52.839	25	0.5247	Dy_auto
51	120	6.3997	53.207	24.99	0.58483	Dy_auto
52	133	7.1295	53.55	24.99	0.65152	Dy_auto
53	147	8.0048	54.319	24.99	0.7315	Dy_auto
54	163	8.9336	54.767	24.98	0.81638	Dy_auto
55	181	9.9528	55.124	24.98	0.90952	Dy_auto
56	200	11.065	55.368	24.98	1.0112	Dy_auto
57	221	12.751	57.641	24.98	1.1652	Dy_auto
58	245	14.448	59.008	24.98	1.3203	Dy_auto
59	271	15.983	58.971	24.98	1.4606	Dy_auto
60	300	17.412	58.039	24.98	1.5911	Dy_auto
