AL0.1%_PLA0.1%
8/29/2021 9:34 PM
Time [s]	ST [mN/m]	Volume [μl]
0.00	-12.14	5.17
2.16	-11.68	5.16
4.32	-11.27	5.16
6.48	-10.91	5.15
8.64	-10.61	5.15
10.80	-10.31	5.14
12.96	-10.03	5.14
15.12	-9.78	5.13
17.28	-9.57	5.12
19.44	-9.34	5.12
21.60	-9.14	5.11
23.76	-8.95	5.11
25.92	-8.79	5.10
28.08	-8.63	5.09
30.24	-8.48	5.09
32.40	-8.34	5.08
34.56	-8.23	5.08
36.72	-8.11	5.07
38.88	-8.01	5.07
41.04	-7.91	5.06
43.20	-7.79	5.05
45.36	-7.70	5.04
47.51	-7.61	5.04
49.67	-7.51	5.03
51.83	-7.43	5.02
53.99	-7.36	5.02
56.15	-7.28	5.01
58.31	-7.23	5.01
60.47	-7.16	5.00
62.63	-7.10	4.99
64.79	-7.05	4.99
66.95	-7.01	4.99
69.11	-6.96	4.98
71.27	-6.91	4.97
73.43	-6.87	4.97
75.59	-6.83	4.96
77.75	-6.79	4.95
79.91	-6.76	4.95
82.07	-6.73	4.95
84.23	-6.71	4.94
86.39	-6.69	4.94
88.55	-6.66	4.93
90.71	-6.63	4.93
92.87	-6.60	4.92
95.03	-6.57	4.91
97.19	-6.54	4.91
99.35	-6.52	4.90
101.51	-6.51	4.90
103.67	-6.47	4.90
105.83	-6.45	4.89
107.99	-6.43	4.89
110.15	-6.40	4.88
112.31	-6.39	4.88
114.47	-6.37	4.87
116.63	-6.35	4.87
118.79	-6.33	4.87
120.95	-6.30	4.86
123.11	-6.28	4.86
125.27	-6.25	4.85
127.43	-6.24	4.84
129.59	-6.20	4.83
131.75	 	 
133.91	-6.17	4.82
136.07	-6.16	4.82
138.23	-6.14	4.81
140.39	-6.14	4.81
142.54	-6.12	4.81
144.70	-6.10	4.80
146.86	-6.10	4.80
149.02	-6.10	4.80
151.18	-6.08	4.79
153.34	-6.06	4.79
155.50	-6.04	4.78
157.66	-6.03	4.77
159.82	-6.01	4.76
161.98	-5.99	4.76
164.14	-5.97	4.75
166.30	-5.96	4.75
168.46	-5.94	4.74
170.62	-5.92	4.73
172.78	-5.91	4.73
174.94	-5.91	4.73
177.10	-5.88	4.72
179.26	-5.87	4.72
181.42	-5.86	4.71
183.58	-5.84	4.70
185.74	-5.83	4.70
187.90	-5.81	4.69
190.06	-5.80	4.69
192.22	-5.78	4.68
194.38	-5.77	4.68
196.54	-5.76	4.67
198.70	-5.75	4.67
200.86	-5.75	4.67
203.02	-5.74	4.67
205.18	-5.73	4.67
207.34	-5.71	4.66
209.50	-5.71	4.66
211.66	-5.69	4.65
213.82	-5.69	4.65
215.98	-5.68	4.65
218.14	-5.67	4.64
220.30	-5.66	4.64
222.46	-5.65	4.63
224.62	-5.64	4.62
226.78	-5.62	4.62
228.94	-5.62	4.61
231.10	-5.61	4.61
233.26	-5.61	4.61
235.41	-5.59	4.60
237.57	-5.59	4.60
239.73	-5.58	4.59
241.89	-5.57	4.59
244.05	-5.57	4.59
246.21	-5.55	4.58
248.37	-5.55	4.58
250.53	-5.54	4.57
252.69	-5.53	4.57
254.85	-5.53	4.57
257.01	-5.51	4.56
259.17	-5.50	4.56
261.33	-5.49	4.55
263.49	-5.49	4.55
265.65	-5.49	4.54
267.81	-5.48	4.54
269.97	-5.47	4.54
272.13	-5.47	4.53
274.29	-5.46	4.53
276.45	-5.46	4.53
278.61	-5.45	4.53
280.77	-5.45	4.52
282.93	-5.43	4.52
285.09	-5.43	4.51
287.25	-5.42	4.51
289.41	-5.41	4.50
291.57	-5.41	4.50
293.73	-5.40	4.50
295.89	-5.39	4.49
298.05	-5.38	4.49
300.21	-5.37	4.48
302.37	-5.36	4.48
304.53	-5.36	4.47
306.69	 	 
308.85	-5.36	4.47
311.01	-5.35	4.47
313.17	-5.34	4.47
315.33	-5.34	4.46
317.49	-5.34	4.46
319.65	-5.33	4.46
321.81	-5.33	4.46
323.97	-5.32	4.45
326.13	-5.32	4.45
328.29	-5.31	4.45
330.44	-5.30	4.44
332.60	-5.29	4.44
334.76	-5.29	4.44
336.92	-5.28	4.43
339.08	-5.26	4.43
341.24	-5.27	4.43
343.40	-5.27	4.42
345.56	-5.25	4.42
347.72	-5.26	4.42
349.88	-5.24	4.41
352.04	-5.23	4.41
354.20	-5.23	4.41
356.36	-5.22	4.40
358.52	-5.21	4.40
360.68	-5.21	4.40
362.84	-5.20	4.39
365.00	-5.20	4.39
367.16	-5.19	4.39
369.32	-5.19	4.39
371.48	-5.18	4.38
373.64	-5.18	4.38
375.80	-5.18	4.38
377.96	-5.17	4.38
380.12	-5.17	4.38
382.28	-5.17	4.37
384.44	-5.16	4.37
386.60	-5.14	4.36
388.76	-5.14	4.36
390.92	-5.14	4.36
393.08	-5.12	4.35
395.24	-5.12	4.35
397.40	-5.10	4.34
