0.1%AL_CLF
9/2/2021 6:06 PM
Time [s]	ST [mN/m]	Volume [μl]
0.00	15.72	7.61
2.16	15.51	7.61
4.32	15.37	7.61
6.48	15.19	7.61
8.64	15.12	7.62
10.80	15.00	7.62
12.96	14.91	7.62
15.12	14.79	7.62
17.28	14.71	7.61
19.44	14.64	7.62
21.60	14.51	7.62
23.76	14.51	7.62
25.92	14.45	7.62
28.08	14.37	7.62
30.24	14.34	7.62
32.40	14.27	7.62
34.56	14.24	7.62
36.72	13.96	7.62
38.88	14.13	7.62
41.04	14.10	7.62
43.20	14.07	7.62
45.36	14.01	7.62
47.51	13.96	7.61
49.67	13.94	7.62
51.83	13.90	7.62
53.99	13.88	7.62
56.15	13.84	7.62
58.31	13.80	7.62
60.47	13.77	7.62
62.63	13.72	7.62
64.79	13.69	7.62
66.95	13.70	7.62
69.11	13.62	7.62
71.27	13.60	7.62
73.43	13.59	7.62
75.59	13.53	7.62
77.75	13.52	7.62
79.91	13.47	7.61
82.07	13.47	7.62
84.23	13.44	7.61
86.39	13.38	7.62
88.55	13.37	7.62
90.71	13.33	7.61
92.87	13.31	7.62
95.03	13.27	7.62
97.19	13.26	7.62
99.35	13.23	7.62
101.51	13.16	7.62
103.67	13.19	7.62
105.83	13.12	7.62
107.99	13.11	7.62
110.15	13.10	7.62
112.31	13.08	7.62
114.47	13.04	7.62
116.63	13.06	7.62
118.79	13.01	7.62
120.95	13.03	7.62
123.11	13.00	7.62
125.27	12.96	7.62
127.43	12.94	7.62
129.59	12.95	7.62
131.75	12.93	7.62
133.91	12.92	7.62
136.07	12.90	7.61
138.23	12.85	7.61
140.39	12.89	7.61
142.54	12.81	7.61
144.70	12.83	7.61
146.86	12.83	7.61
149.02	12.77	7.61
151.18	12.82	7.61
153.34	12.73	7.61
155.50	12.74	7.61
157.66	12.75	7.61
159.82	12.73	7.61
161.98	12.68	7.61
164.14	12.68	7.61
166.30	12.68	7.61
168.46	12.67	7.61
170.62	12.63	7.61
172.78	12.60	7.61
174.94	12.63	7.61
177.10	12.62	7.61
179.26	12.56	7.61
181.42	12.56	7.61
183.58	12.59	7.61
185.74	12.58	7.62
187.90	12.54	7.62
190.06	 	 
192.22	12.52	7.62
194.38	12.55	7.61
196.54	12.49	7.61
198.70	12.48	7.61
200.86	12.49	7.61
203.02	12.51	7.61
205.18	12.49	7.61
207.34	12.46	7.61
209.50	12.45	7.61
211.66	12.43	7.61
213.82	12.48	7.61
215.98	12.43	7.61
218.14	12.42	7.61
220.30	12.40	7.61
222.46	12.43	7.61
224.62	12.41	7.61
226.78	12.38	7.61
228.94	12.37	7.61
231.10	12.41	7.61
233.26	12.40	7.61
235.42	12.37	7.61
237.57	12.36	7.61
239.73	12.35	7.61
241.89	12.37	7.61
244.05	12.36	7.61
246.21	12.34	7.61
248.37	12.35	7.61
250.53	12.32	7.61
252.69	12.33	7.61
254.85	12.33	7.61
257.01	12.33	7.61
259.17	12.31	7.60
261.33	12.33	7.60
263.49	12.32	7.61
265.65	12.32	7.60
267.81	12.31	7.60
269.97	12.28	7.60
272.13	12.31	7.60
274.29	12.28	7.60
276.45	12.28	7.60
278.61	12.30	7.60
280.77	12.27	7.60
282.93	12.27	7.60
285.09	12.26	7.60
287.25	12.27	7.60
289.41	12.27	7.60
