water_0.1%PLA
9/2/2021 3:40 PM
Time [s]	ST [mN/m]	Volume [μl]
0.00	21.41	8.32
2.16	21.46	8.32
4.32	21.54	8.32
6.48	21.51	8.32
8.64	21.57	8.32
10.80	21.46	8.32
12.96	21.78	8.32
15.12	21.61	8.33
17.28	21.66	8.33
19.44	21.60	8.33
21.60	21.66	8.33
23.76	21.51	8.33
25.92	21.64	8.33
28.08	21.76	8.33
30.24	21.67	8.33
32.40	21.76	8.33
34.56	21.67	8.33
36.72	21.74	8.33
38.88	21.72	8.33
41.04	21.81	8.33
43.20	21.71	8.33
45.36	21.84	8.33
47.51	21.82	8.33
49.67	21.95	8.33
51.83	21.72	8.33
53.99	21.72	8.33
56.15	21.87	8.34
58.31	21.94	8.33
60.47	21.92	8.33
62.63	22.00	8.33
64.79	22.02	8.33
66.95	21.94	8.33
69.11	22.03	8.33
71.27	21.95	8.34
73.43	22.04	8.34
75.59	22.02	8.34
77.75	22.00	8.34
79.91	22.02	8.34
82.07	22.01	8.34
84.23	22.05	8.34
86.39	22.03	8.34
88.55	22.10	8.34
90.71	22.10	8.34
92.87	22.14	8.34
95.03	21.96	8.34
97.19	22.12	8.34
99.35	22.08	8.34
101.51	22.03	8.34
103.67	22.06	8.34
105.83	22.02	8.34
107.99	22.20	8.34
110.15	22.14	8.34
112.31	22.09	8.34
114.47	22.16	8.34
116.63	22.07	8.34
118.79	22.20	8.34
120.95	22.14	8.35
123.11	22.19	8.35
125.27	22.11	8.35
127.43	22.11	8.35
129.59	22.13	8.34
131.75	22.02	8.35
133.91	22.03	8.35
136.07	22.16	8.35
138.23	22.05	8.35
140.39	22.12	8.35
142.54	22.03	8.35
144.70	22.13	8.35
146.86	22.07	8.35
149.02	22.12	8.35
151.18	22.04	8.35
153.34	22.21	8.35
155.50	21.99	8.35
157.66	22.02	8.35
159.82	21.93	8.35
161.98	22.08	8.35
164.14	22.07	8.35
166.30	22.05	8.35
168.46	21.91	8.35
170.62	22.06	8.35
172.78	22.00	8.35
174.94	22.06	8.35
177.10	22.10	8.35
179.26	21.97	8.35
181.42	21.96	8.35
183.58	22.05	8.35
185.74	22.01	8.35
187.90	21.95	8.35
190.06	22.09	8.34
192.22	21.86	8.35
194.38	21.95	8.34
196.54	21.88	8.35
198.70	22.18	8.35
200.86	21.88	8.35
203.02	22.04	8.34
205.18	21.88	8.35
207.34	22.04	8.35
209.50	21.88	8.35
211.66	22.00	8.35
213.82	21.92	8.35
215.98	21.96	8.35
218.14	21.83	8.35
220.30	21.81	8.35
222.46	21.86	8.35
224.62	21.90	8.35
226.78	21.95	8.35
228.94	21.86	8.35
231.10	21.88	8.36
233.26	21.92	8.36
235.41	21.89	8.35
237.57	21.80	8.36
239.73	21.85	8.35
241.89	21.80	8.35
244.05	21.80	8.35
246.21	21.71	8.35
248.37	21.79	8.35
250.53	21.93	8.35
252.69	21.83	8.36
254.85	21.88	8.36
257.01	21.80	8.35
259.17	21.84	8.35
261.33	21.87	8.35
263.49	21.81	8.35
265.65	21.65	8.35
267.81	21.90	8.35
269.97	21.67	8.35
272.13	21.83	8.35
274.29	21.67	8.35
276.45	21.76	8.35
278.61	21.61	8.35
280.77	21.82	8.35
282.93	21.68	8.35
285.09	21.67	8.35
287.25	21.75	8.36
289.41	21.68	8.35
291.57	21.80	8.36
293.73	21.63	8.36
295.89	21.61	8.36
298.05	21.63	8.36
300.21	21.63	8.35
302.37	21.60	8.36
304.53	21.59	8.36
306.69	21.66	8.36
308.85	21.55	8.35
311.01	21.65	8.35
313.17	21.55	8.36
315.33	21.64	8.35
317.49	21.53	8.36
319.65	21.50	8.36
321.81	21.61	8.36
323.97	21.57	8.36
326.13	21.58	8.36
328.29	21.58	8.35
330.44	21.64	8.36
332.60	21.56	8.36
334.76	21.70	8.36
336.92	21.46	8.36
339.08	21.59	8.36
341.24	21.45	8.36
343.40	21.72	8.36
345.56	21.49	8.36
347.72	21.41	8.36
349.88	21.48	8.36
352.04	21.42	8.36
354.20	21.45	8.35
356.36	21.51	8.36
358.52	 	 
360.68	21.46	8.36
362.84	21.59	8.36
365.00	21.49	8.36
367.16	21.49	8.36
369.32	21.38	8.36
371.48	21.53	8.36
373.64	21.40	8.36
375.80	21.48	8.36
377.96	21.36	8.36
380.12	21.48	8.36
382.28	21.47	8.36
384.44	21.45	8.36
386.60	21.28	8.36
388.76	21.35	8.36
390.92	21.36	8.36
393.08	21.35	8.36
395.24	21.36	8.36
397.40	21.39	8.36
399.56	21.37	8.36
401.72	21.24	8.36
403.88	21.32	8.36
406.04	21.28	8.37
408.20	21.36	8.36
410.36	21.26	8.36
412.52	21.35	8.36
414.68	21.29	8.36
416.84	21.45	8.36
419.00	21.32	8.36
421.16	21.29	8.36
423.32	21.25	8.36
425.47	21.42	8.36
427.63	21.27	8.36
429.79	21.28	8.36
431.95	21.24	8.36
434.11	21.22	8.36
436.27	21.28	8.36
438.43	21.25	8.35
440.59	21.40	8.36
442.75	21.15	8.36
444.91	21.34	8.37
447.07	21.32	8.36
449.23	21.19	8.36
451.39	21.31	8.36
453.55	21.08	8.36
455.71	21.30	8.36
457.87	21.06	8.36
460.03	21.38	8.37
462.19	21.20	8.36
464.35	21.22	8.37
466.51	21.37	8.36
468.67	21.21	8.37
470.83	21.15	8.36
472.99	21.10	8.37
475.15	21.28	8.36
477.31	21.15	8.36
479.47	21.12	8.36
481.63	21.10	8.37
483.79	21.18	8.36
485.95	21.05	8.36
488.11	21.17	8.36
490.27	21.05	8.36
492.43	21.11	8.36
494.59	21.22	8.36
496.75	21.16	8.36
498.91	21.18	8.36
501.07	21.06	8.36
503.23	21.06	8.36
505.39	21.10	8.36
507.55	20.98	8.36
509.71	21.01	8.36
511.87	21.13	8.36
514.03	20.99	8.36
516.19	21.15	8.36
518.34	21.02	8.36
520.50	21.17	8.36
522.66	20.96	8.36
524.82	21.10	8.36
526.98	20.91	8.36
529.14	21.16	8.36
531.30	20.85	8.36
533.46	21.02	8.36
535.62	20.92	8.36
537.78	20.98	8.36
539.94	20.98	8.36
542.10	21.01	8.35
544.26	20.88	8.36
546.42	20.82	8.35
548.58	21.12	8.36
550.74	21.05	8.36
552.90	21.10	8.36
555.06	20.90	8.36
557.22	21.17	8.36
559.38	20.96	8.36
561.54	21.10	8.36
563.70	20.91	8.36
565.86	21.08	8.36
568.02	20.89	8.36
570.18	20.96	8.36
572.34	20.89	8.36
574.50	21.01	8.36
576.66	21.01	8.36
578.82	20.93	8.36
580.98	20.96	8.36
583.14	20.89	8.36
585.30	21.00	8.36
587.46	20.92	8.36
589.62	20.90	8.36
591.78	20.85	8.36
593.94	20.89	8.36
596.10	20.98	8.36
598.26	20.80	8.36
600.42	20.96	8.36
602.58	20.88	8.36
604.74	20.86	8.36
606.90	20.77	8.36
609.06	20.97	8.36
611.22	20.81	8.36
613.37	20.79	8.36
615.53	20.84	8.36
617.69	20.90	8.36
619.85	20.83	8.36
622.01	20.86	8.36
624.17	20.88	8.36
626.33	20.66	8.36
628.49	20.87	8.36
630.65	 	 
632.81	20.84	8.36
634.97	20.84	8.36
637.13	20.80	8.36
639.29	20.87	8.36
641.45	20.86	8.36
643.61	20.80	8.36
645.77	20.80	8.36
647.93	20.87	8.36
650.09	 	 
652.25	 	 
654.41	20.86	8.36
656.57	20.95	8.36
658.73	20.69	8.36
660.89	20.85	8.36
663.05	20.55	8.37
665.21	 	 
667.37	20.81	8.37
669.53	20.77	8.37
671.69	 	 
673.85	20.76	8.37
676.01	20.81	8.37
678.17	20.72	8.37
680.33	20.71	8.37
682.49	20.73	8.37
684.65	20.64	8.37
686.81	20.81	8.37
688.97	20.83	8.37
691.13	20.72	8.37
693.29	20.74	8.37
695.45	20.72	8.37
697.61	20.72	8.37
699.77	20.51	8.37
701.93	20.86	8.37
704.09	20.50	8.37
706.24	20.67	8.36
708.40	20.70	8.37
710.56	20.76	8.37
712.72	20.50	8.37
714.88	20.72	8.37
717.04	20.70	8.37
719.20	20.63	8.36
721.36	20.68	8.36
723.52	20.61	8.36
725.68	20.68	8.37
727.84	20.64	8.37
730.00	20.83	8.37
732.16	20.56	8.37
734.32	20.77	8.37
736.48	20.52	8.37
738.64	20.65	8.37
740.80	20.56	8.37
742.96	20.66	8.37
745.12	20.57	8.37
747.28	20.52	8.37
749.44	20.66	8.37
751.60	20.55	8.37
753.76	20.56	8.37
755.92	20.54	8.37
758.08	20.58	8.37
760.24	20.56	8.37
762.40	20.66	8.37
764.56	20.68	8.37
766.72	20.62	8.37
768.88	20.61	8.37
771.04	20.61	8.37
773.20	20.55	8.37
775.36	20.60	8.37
777.52	20.49	8.37
779.68	20.54	8.37
781.84	20.49	8.37
784.00	20.66	8.37
786.16	20.56	8.37
788.32	20.62	8.37
790.48	20.56	8.37
792.64	20.57	8.37
794.80	20.52	8.37
796.96	20.53	8.37
799.12	20.46	8.37
801.27	20.63	8.37
803.43	20.53	8.37
805.59	20.50	8.37
807.75	20.53	8.37
809.91	20.45	8.37
812.07	20.40	8.37
814.23	20.53	8.37
816.39	20.54	8.37
818.55	20.55	8.37
820.71	20.57	8.37
822.87	20.61	8.37
825.03	20.53	8.37
827.19	20.62	8.38
829.35	20.39	8.38
831.51	20.40	8.38
833.67	20.47	8.37
835.83	20.45	8.37
837.99	20.43	8.37
840.15	20.38	8.37
842.31	20.53	8.37
844.47	20.32	8.37
846.63	20.62	8.37
848.79	20.45	8.37
850.95	 	 
853.11	20.30	8.37
855.27	20.42	8.37
857.43	20.39	8.37
859.59	20.54	8.37
861.75	20.40	8.37
863.91	20.44	8.37
866.07	20.49	8.37
868.23	20.44	8.37
870.39	20.44	8.37
872.55	20.41	8.37
874.71	20.62	8.37
876.87	20.37	8.37
879.03	20.53	8.37
881.19	20.37	8.37
883.35	20.40	8.36
885.51	20.30	8.37
887.67	20.54	8.37
889.83	20.35	8.37
891.99	20.46	8.37
894.14	20.38	8.37
896.30	20.49	8.37
898.46	20.37	8.37
900.62	20.52	8.37
902.78	20.44	8.37
904.94	20.41	8.37
907.10	20.40	8.37
909.26	20.39	8.37
911.42	20.38	8.37
913.58	20.35	8.37
915.74	20.42	8.37
917.90	20.42	8.37
920.06	20.34	8.37
922.22	20.39	8.37
924.38	20.33	8.37
926.54	20.49	8.37
928.70	20.41	8.37
930.86	20.40	8.36
933.02	20.37	8.37
935.18	20.30	8.36
937.34	20.38	8.36
939.50	20.35	8.36
941.66	20.35	8.37
943.82	20.33	8.38
945.98	20.36	8.37
948.14	20.36	8.37
950.30	20.32	8.37
952.46	20.34	8.37
954.62	20.33	8.37
956.78	20.32	8.37
958.94	20.30	8.37
961.10	20.29	8.37
963.26	20.43	8.37
965.42	20.34	8.37
967.58	20.33	8.37
969.74	20.31	8.36
971.90	20.46	8.37
974.06	20.25	8.37
976.22	20.40	8.37
978.38	20.19	8.37
980.54	20.27	8.37
982.70	20.46	8.36
984.86	20.39	8.37
987.02	20.33	8.37
989.17	20.26	8.37
991.33	 	 
993.49	20.22	8.37
995.65	20.32	8.36
997.81	20.23	8.37
999.97	20.31	8.37
1002.13	20.21	8.37
1004.29	20.32	8.37
1006.45	20.31	8.37
1008.61	20.20	8.37
1010.77	20.28	8.37
1012.93	20.27	8.36
1015.09	20.29	8.37
1017.25	20.20	8.36
1019.41	20.30	8.37
1021.57	20.31	8.36
1023.73	20.27	8.36
1025.89	20.23	8.37
1028.05	20.39	8.37
1030.21	20.11	8.37
1032.37	20.28	8.37
1034.53	20.20	8.37
1036.69	20.28	8.37
1038.85	20.00	8.36
1041.01	20.40	8.37
1043.17	20.05	8.37
1045.33	20.31	8.36
1047.49	20.29	8.37
1049.65	20.17	8.37
1051.81	20.21	8.37
1053.97	20.21	8.37
1056.13	20.21	8.37
1058.29	20.24	8.37
1060.45	20.34	8.37
1062.61	20.17	8.37
1064.77	20.43	8.37
1066.93	20.21	8.37
1069.09	20.31	8.37
1071.25	20.07	8.37
1073.41	20.28	8.36
1075.57	20.21	8.37
1077.73	20.26	8.36
1079.89	20.17	8.37
1082.05	20.24	8.36
1084.20	20.24	8.37
1086.36	20.30	8.36
1088.52	20.17	8.36
1090.68	20.18	8.36
1092.84	20.40	8.36
1095.00	20.18	8.36
1097.16	20.27	8.36
1099.32	20.16	8.37
1101.48	20.28	8.36
1103.64	20.09	8.37
1105.80	20.18	8.37
1107.96	20.18	8.37
1110.12	19.82	8.38
1112.28	20.13	8.37
1114.44	20.25	8.37
1116.60	20.23	8.37
1118.76	20.11	8.37
1120.92	20.15	8.37
1123.08	20.19	8.37
1125.24	20.27	8.37
1127.40	20.19	8.37
1129.56	20.19	8.37
1131.72	20.21	8.37
1133.88	20.17	8.37
1136.04	20.31	8.37
1138.20	20.16	8.37
1140.36	20.19	8.37
1142.52	20.18	8.37
1144.68	20.15	8.37
1146.84	20.14	8.37
1149.00	20.19	8.37
1151.16	20.27	8.37
1153.32	20.12	8.37
1155.48	20.09	8.37
1157.64	20.17	8.37
1159.80	20.22	8.37
1161.96	20.22	8.37
1164.12	20.18	8.37
1166.28	20.11	8.37
1168.44	20.24	8.37
1170.60	20.15	8.37
1172.76	20.30	8.37
1174.92	20.07	8.37
1177.07	20.25	8.37
1179.23	20.20	8.37
1181.39	20.27	8.37
1183.55	20.11	8.37
1185.71	20.23	8.37
1187.87	20.10	8.37
1190.03	19.90	8.38
1192.19	20.05	8.37
1194.35	20.58	8.37
1196.51	20.51	8.37
1198.67	20.18	8.37
1200.83	20.14	8.37
1202.99	20.17	8.37
1205.15	20.18	8.37
1207.31	20.13	8.37
1209.47	20.19	8.37
1211.63	19.99	8.37
1213.79	20.25	8.37
1215.95	20.01	8.37
1218.11	20.37	8.36
1220.27	20.04	8.37
1222.43	20.26	8.37
1224.59	20.07	8.37
1226.75	20.35	8.37
1228.91	20.20	8.37
