Water_Chloroform
8/31/2021 3:59 PM
Time [s]	ST [mN/m]	Volume [μl]
0.00	27.11	6.08
2.16	26.97	6.09
4.32	27.02	6.09
6.48	27.04	6.09
8.64	26.99	6.09
10.80	27.02	6.10
12.96	27.00	6.10
15.12	27.09	6.10
17.28	26.92	6.10
19.44	26.85	6.10
21.60	26.90	6.10
23.76	26.98	6.10
25.92	26.82	6.10
28.08	26.83	6.10
30.24	26.90	6.10
32.40	26.78	6.10
34.56	26.97	6.10
36.72	26.69	6.10
38.88	26.91	6.10
41.04	26.65	6.10
43.20	26.87	6.10
45.36	26.75	6.10
47.52	26.88	6.10
49.67	26.65	6.10
51.83	26.73	6.10
53.99	26.50	6.10
56.15	26.77	6.10
58.31	26.66	6.10
60.47	26.65	6.10
62.63	26.73	6.10
64.79	26.53	6.10
66.95	26.92	6.10
69.11	26.58	6.10
71.27	26.72	6.10
73.43	26.60	6.10
75.59	26.63	6.09
77.75	26.72	6.09
79.91	26.58	6.09
82.07	26.77	6.09
84.23	26.54	6.09
86.39	26.69	6.09
88.55	26.67	6.09
90.71	26.62	6.09
92.87	26.53	6.09
95.03	26.60	6.09
97.19	26.75	6.09
99.35	26.53	6.09
101.51	26.61	6.09
103.67	26.64	6.09
105.83	26.76	6.09
107.99	26.47	6.09
110.15	26.63	6.09
112.31	26.58	6.08
114.47	26.43	6.08
116.63	26.62	6.08
118.79	26.62	6.08
120.95	26.49	6.08
123.11	26.41	6.08
125.27	26.56	6.08
127.43	26.34	6.08
129.59	26.43	6.08
131.75	26.24	6.08
133.91	26.60	6.07
136.07	26.34	6.07
138.23	26.50	6.07
140.39	26.28	6.07
142.54	26.23	6.07
144.70	26.28	6.07
146.86	26.19	6.07
149.02	26.35	6.07
151.18	26.23	6.07
153.34	26.42	6.06
155.50	26.26	6.06
157.66	26.31	6.06
159.82	26.39	6.06
161.98	26.28	6.06
164.14	26.43	6.06
166.30	26.36	6.06
168.46	26.53	6.06
170.62	26.30	6.06
172.78	26.56	6.06
174.94	26.29	6.06
177.10	26.45	6.05
179.26	26.31	6.05
181.42	26.21	6.05
183.58	26.24	6.05
185.74	26.39	6.05
187.90	26.26	6.05
190.06	26.32	6.05
192.22	26.33	6.05
194.38	26.28	6.05
196.54	26.23	6.05
198.70	26.16	6.05
200.86	26.45	6.05
203.02	26.19	6.04
205.18	 	 
207.34	26.30	6.05
209.50	26.27	6.04
211.66	26.28	6.05
213.82	26.25	6.05
215.98	26.43	6.04
218.14	26.16	6.04
220.30	26.19	6.04
222.46	26.23	6.04
224.62	26.30	6.04
226.78	26.27	6.04
228.94	26.25	6.04
231.10	26.34	6.04
233.26	26.13	6.04
235.42	26.21	6.04
237.57	26.17	6.03
239.73	26.25	6.03
241.89	26.19	6.03
244.05	26.25	6.04
246.21	26.19	6.03
248.37	26.06	6.03
250.53	26.10	6.03
252.69	26.11	6.03
254.85	26.13	6.03
257.01	26.00	6.03
259.17	26.05	6.03
261.33	26.01	6.03
263.49	26.18	6.03
265.65	26.00	6.03
267.81	26.18	6.03
269.97	26.05	6.02
272.13	25.85	6.02
274.29	26.05	6.02
276.45	26.06	6.02
278.61	25.96	6.02
280.77	25.92	6.02
282.93	26.04	6.02
285.09	25.87	6.02
287.25	26.04	6.02
289.41	26.02	6.02
291.57	25.91	6.02
293.73	25.93	6.01
295.89	25.95	6.01
298.05	25.97	6.01
300.21	25.75	6.01
302.37	25.93	6.02
304.53	25.87	6.01
306.69	25.97	6.01
308.85	25.82	6.01
311.01	25.93	6.01
313.17	25.89	6.01
315.33	25.81	6.01
317.49	25.89	6.01
319.65	25.77	6.01
321.81	25.98	6.01
323.97	25.63	6.01
326.13	25.94	6.01
328.29	25.86	6.01
330.45	25.86	6.00
332.60	25.88	6.01
334.76	25.93	6.01
336.92	25.79	6.01
339.08	25.87	6.01
341.24	25.89	6.01
343.40	25.80	6.01
345.56	25.91	6.01
347.72	25.89	6.00
349.88	25.88	6.00
352.04	25.70	6.00
354.20	25.80	6.00
356.36	25.86	6.00
358.52	25.87	6.00
360.68	25.84	6.00
362.84	25.84	6.00
365.00	25.85	6.00
367.16	25.71	6.00
369.32	25.66	6.00
371.48	25.73	6.00
373.64	25.74	6.00
375.80	25.70	6.00
377.96	25.67	6.00
380.12	25.78	6.00
382.28	25.51	6.00
384.44	25.73	5.99
386.60	25.61	6.00
388.76	25.62	5.99
390.92	25.60	5.99
393.08	25.64	5.99
395.24	25.65	5.99
397.40	25.73	5.99
399.56	25.70	5.99
401.72	25.62	5.99
403.88	25.75	5.99
406.04	25.63	5.99
408.20	25.76	5.99
410.36	25.60	5.99
412.52	25.78	5.99
414.68	25.61	5.99
416.84	25.79	5.99
419.00	25.56	5.99
421.16	25.68	5.99
423.32	25.69	5.99
425.47	25.64	5.99
427.63	25.57	5.98
429.79	25.65	5.99
431.95	25.73	5.99
434.11	25.59	5.99
