60-30-7-filterpaper
8/31/2021 9:23 PM
Time [s]	CA left [°]	CA right [°]	CA mean [°]	Volume [μl]	Baseline [mm]
0.00	67.82	68.15	67.99	2.85	2.85
0.72	72.17	71.46	71.82	3.96	3.00
1.44	70.09	69.94	70.02	3.93	2.99
2.16	68.79	68.87	68.83	3.91	2.99
2.88	68.39	68.30	68.34	3.87	3.00
3.60	67.54	67.48	67.51	3.80	3.01
4.32	66.69	65.93	66.31	3.43	3.00
5.04	66.13	64.54	65.34	3.14	3.02
5.76	65.93	63.79	64.86	2.91	3.02
6.48	65.35	62.96	64.16	2.75	3.00
7.20	65.41	63.13	64.27	2.81	3.00
7.92	65.05	62.81	63.93	2.78	3.00
8.64	64.72	62.78	63.75	2.83	3.00
9.36	64.79	62.80	63.80	2.84	3.00
10.08	64.45	62.46	63.45	2.78	2.99
10.80	64.66	62.50	63.58	2.79	2.99
11.52	64.57	62.44	63.50	2.79	2.99
12.24	64.67	62.57	63.62	2.79	2.99
12.96	64.36	62.35	63.35	2.78	2.99
13.68	64.27	62.28	63.27	2.80	2.99
14.40	64.30	62.39	63.35	2.83	2.99
15.12	64.19	62.30	63.24	2.81	2.99
15.84	64.27	62.52	63.39	2.86	2.99
16.56	64.03	62.12	63.08	2.80	2.99
17.28	63.94	62.20	63.07	2.81	2.99
18.00	64.15	62.20	63.17	2.83	2.99
18.72	64.01	62.09	63.05	2.82	2.99
19.44	63.86	62.04	62.95	2.84	2.99
20.16	63.54	61.92	62.73	2.80	2.98
20.88	63.56	61.86	62.71	2.82	2.98
21.60	63.82	62.03	62.93	2.83	2.99
22.32	63.72	62.02	62.87	2.82	2.98
23.04	63.69	62.01	62.85	2.85	2.98
23.76	63.70	62.05	62.88	2.85	2.99
24.48	63.99	62.23	63.11	2.86	2.99
25.20	63.48	61.68	62.58	2.78	2.99
25.92	63.44	61.45	62.44	2.77	3.00
26.64	63.06	60.99	62.02	2.65	3.00
27.36	62.66	59.90	61.28	2.47	3.02
28.08	62.84	60.07	61.46	2.51	3.02
28.80	62.46	59.97	61.22	2.50	3.02
29.52	62.30	59.76	61.03	2.47	3.02
30.24	62.60	59.93	61.26	2.47	3.02
30.96	62.36	59.76	61.06	2.49	3.02
31.68	62.19	59.73	60.96	2.52	3.02
32.40	62.27	59.76	61.02	2.55	3.02
33.12	62.10	59.72	60.91	2.56	3.02
33.84	62.26	59.72	60.99	2.55	3.02
34.56	62.10	59.64	60.87	2.54	3.02
35.28	62.13	59.59	60.86	2.53	3.02
36.00	62.03	59.68	60.85	2.55	3.02
36.72	62.08	59.69	60.89	2.56	3.02
