60-25-7-glass
8/31/2021 9:57 PM
Time [s]	CA left [°]	CA right [°]	CA mean [°]	Volume [μl]	Baseline [mm]
0.00	74.54	72.80	73.67	5.92	2.93
0.72	80.66	80.75	80.70	6.69	3.23
1.44	77.58	77.88	77.73	6.86	3.30
2.16	76.18	77.38	76.78	7.23	3.33
2.88	75.24	76.40	75.82	7.25	3.35
3.60	74.40	76.18	75.29	7.47	3.36
4.32	73.99	76.00	75.00	7.52	3.37
5.04	73.48	75.25	74.36	7.50	3.39
5.76	72.80	74.79	73.80	7.59	3.40
6.48	72.28	73.89	73.08	7.48	3.42
7.20	71.85	74.05	72.95	7.71	3.42
7.92	71.50	73.67	72.59	7.73	3.44
8.64	71.08	72.97	72.03	7.67	3.45
9.36	70.78	72.62	71.70	7.68	3.45
10.08	70.75	72.50	71.62	7.65	3.45
10.80	70.69	72.60	71.64	7.73	3.45
11.52	70.60	72.47	71.53	7.71	3.45
12.24	70.56	72.39	71.48	7.70	3.45
12.96	70.48	72.43	71.46	7.72	3.45
13.68	70.50	72.48	71.49	7.73	3.45
14.40	70.49	72.39	71.44	7.69	3.45
15.12	70.39	72.43	71.41	7.68	3.45
15.84	70.39	72.35	71.37	7.68	3.45
16.56	70.42	72.22	71.32	7.65	3.45
17.28	70.29	72.28	71.29	7.68	3.45
18.00	70.27	72.20	71.23	7.69	3.45
18.72	70.25	72.23	71.24	7.67	3.45
19.44	70.28	72.14	71.21	7.67	3.45
20.16	70.23	72.14	71.18	7.66	3.45
20.88	70.12	72.06	71.09	7.65	3.45
21.60	70.15	72.03	71.09	7.66	3.45
22.32	70.16	72.15	71.15	7.69	3.45
23.04	70.15	72.03	71.09	7.64	3.45
23.76	70.16	72.09	71.12	7.65	3.45
24.48	70.06	71.94	71.00	7.64	3.45
25.20	70.03	72.03	71.03	7.65	3.45
25.92	70.06	71.83	70.95	7.61	3.45
26.64	70.03	71.87	70.95	7.60	3.45
27.36	69.97	71.93	70.95	7.64	3.45
28.08	69.95	71.93	70.94	7.65	3.45
28.80	69.89	71.85	70.87	7.65	3.46
29.52	69.89	71.77	70.83	7.59	3.45
30.24	69.90	71.70	70.80	7.60	3.45
30.96	69.83	71.72	70.78	7.62	3.46
31.68	69.84	71.71	70.77	7.61	3.45
32.40	69.79	71.72	70.75	7.60	3.45
33.12	69.81	71.74	70.77	7.61	3.46
33.84	69.68	71.50	70.59	7.58	3.45
34.56	69.69	71.51	70.60	7.58	3.46
35.28	69.76	71.69	70.72	7.61	3.46
36.00	69.81	71.50	70.65	7.57	3.46
36.72	69.62	71.58	70.60	7.58	3.46
37.44	69.61	71.58	70.59	7.61	3.46
38.16	69.57	71.56	70.56	7.60	3.46
38.88	69.56	71.47	70.52	7.55	3.46
39.60	69.61	71.36	70.49	7.55	3.46
40.32	69.53	71.47	70.50	7.55	3.46
41.04	69.43	71.43	70.43	7.58	3.46
41.76	69.46	71.29	70.37	7.58	3.46
42.48	69.55	71.29	70.42	7.56	3.46
43.20	69.53	71.30	70.42	7.58	3.46
43.92	69.36	71.20	70.28	7.56	3.46
44.64	69.49	71.22	70.36	7.53	3.46
45.36	69.49	71.28	70.38	7.52	3.46
46.08	69.39	71.10	70.25	7.53	3.46
46.80	69.29	71.13	70.21	7.55	3.46
47.51	69.33	71.11	70.22	7.55	3.46
48.23	69.22	71.06	70.14	7.55	3.46
48.95	69.29	71.10	70.19	7.55	3.46
49.67	69.30	71.11	70.21	7.54	3.46
50.39	69.22	71.05	70.13	7.52	3.46
51.11	69.25	71.05	70.15	7.50	3.46
51.83	69.17	70.97	70.07	7.50	3.46
52.55	69.17	70.95	70.06	7.51	3.46
53.27	69.08	70.95	70.02	7.54	3.46
53.99	69.10	70.98	70.04	7.51	3.46
54.71	69.13	70.91	70.02	7.49	3.46
55.43	69.08	70.87	69.98	7.51	3.46
56.15	69.11	70.86	69.99	7.48	3.46
56.87	69.10	70.78	69.94	7.49	3.46
57.59	68.99	70.68	69.84	7.49	3.46
58.31	69.06	70.90	69.98	7.50	3.46
59.03	68.90	70.79	69.84	7.51	3.46
59.75	69.04	70.76	69.90	7.49	3.46
60.47	68.90	70.68	69.79	7.46	3.46
61.19	68.94	70.67	69.80	7.47	3.46
61.91	68.90	70.64	69.77	7.48	3.46
62.63	68.88	70.75	69.81	7.51	3.46
63.35	68.89	70.59	69.74	7.50	3.46
64.07	68.87	70.54	69.71	7.47	3.46
64.79	68.78	70.52	69.65	7.46	3.46
65.51	68.73	70.58	69.66	7.46	3.46
66.23	68.77	70.43	69.60	7.44	3.46
66.95	68.60	70.35	69.47	7.47	3.46
67.67	68.69	70.36	69.52	7.44	3.46
68.39	68.71	70.36	69.53	7.43	3.46
69.11	68.62	70.27	69.45	7.45	3.46
69.83	68.67	70.30	69.48	7.41	3.46
70.55	68.54	70.28	69.41	7.42	3.46
71.27	68.61	70.37	69.49	7.46	3.47
71.99	68.61	70.33	69.47	7.45	3.47
72.71	68.56	70.20	69.38	7.38	3.46
73.43	68.49	70.21	69.35	7.40	3.47
74.15	68.30	70.04	69.17	7.40	3.46
74.87	68.42	70.07	69.24	7.43	3.47
75.59	68.43	70.08	69.26	7.40	3.47
76.31	68.36	70.00	69.18	7.38	3.47
77.03	68.35	70.01	69.18	7.40	3.47
77.75	68.37	69.94	69.16	7.37	3.47
78.47	68.37	70.01	69.19	7.39	3.47
79.19	68.21	69.97	69.09	7.40	3.47
79.91	68.24	69.87	69.05	7.37	3.47
80.63	68.41	70.02	69.21	7.43	3.47
81.35	68.13	69.80	68.97	7.38	3.47
82.07	68.28	69.96	69.12	7.41	3.47
82.79	68.16	69.81	68.98	7.34	3.47
83.51	67.97	69.53	68.75	7.29	3.46
84.23	68.10	69.81	68.95	7.35	3.47
84.95	67.80	69.39	68.60	7.29	3.46
85.67	67.97	69.57	68.77	7.33	3.47
86.39	68.01	69.82	68.91	7.42	3.47
87.11	67.84	69.47	68.66	7.32	3.47
87.83	67.78	69.25	68.51	7.25	3.46
88.55	67.81	69.34	68.58	7.29	3.47
89.27	67.97	69.77	68.87	7.39	3.47
89.99	67.64	69.26	68.45	7.30	3.47
90.71	67.92	69.60	68.76	7.37	3.47
91.43	67.97	69.63	68.80	7.40	3.48
92.15	67.69	69.26	68.47	7.28	3.47
92.87	67.97	69.52	68.74	7.35	3.48
93.59	67.63	69.14	68.39	7.26	3.47
94.31	67.77	69.45	68.61	7.34	3.47
95.03	67.66	69.31	68.49	7.36	3.47
95.75	67.53	69.17	68.35	7.28	3.47
