glass_slide
8/31/2021 10:09 PM
Time [s]	CA left [°]	CA right [°]	CA mean [°]	Volume [μl]	Baseline [mm]
0.00	27.66	25.82	26.74	2.09	4.81
0.72	25.61	24.41	25.01	2.32	4.89
1.44	24.89	23.79	24.34	2.71	4.98
2.16	24.30	23.20	23.75	2.98	4.96
2.88	24.37	23.16	23.76	3.26	5.05
3.60	23.95	22.83	23.39	3.35	5.06
4.32	23.19	22.48	22.84	3.50	5.03
5.04	23.06	22.48	22.77	3.91	5.07
5.76	22.91	22.28	22.59	3.65	5.07
6.48	22.96	22.16	22.56	3.61	5.07
7.20	22.66	22.03	22.35	3.59	5.04
7.92	22.86	22.11	22.48	3.66	5.08
8.64	22.99	22.17	22.58	3.70	5.12
9.36	22.66	22.03	22.34	3.58	5.09
10.08	22.68	21.96	22.32	3.77	5.10
10.80	22.80	22.14	22.47	3.90	5.13
11.52	22.45	21.85	22.15	3.61	5.07
12.24	22.64	21.79	22.21	3.55	5.11
12.96	22.47	21.82	22.15	3.79	5.09
13.68	22.69	21.81	22.25	3.89	5.13
14.40	22.75	21.84	22.30	3.83	5.16
15.12	22.44	21.69	22.07	3.83	5.13
15.84	22.24	21.54	21.89	3.90	5.10
16.56	22.30	21.63	21.96	3.90	5.13
17.28	22.31	21.58	21.94	3.95	5.12
18.00	22.03	21.30	21.67	3.80	5.10
18.72	22.24	21.49	21.87	3.86	5.13
19.44	22.19	21.36	21.77	3.90	5.13
20.16	22.08	21.30	21.69	3.64	5.12
20.88	22.40	21.49	21.95	3.96	5.16
21.60	22.01	21.27	21.64	3.91	5.13
22.32	22.00	21.33	21.67	3.93	5.13
23.04	22.03	21.26	21.65	3.84	5.13
23.76	22.12	21.30	21.71	3.85	5.15
24.48	22.24	21.29	21.76	3.85	5.15
25.20	21.93	21.16	21.55	3.91	5.14
25.92	21.99	21.16	21.57	3.90	5.14
26.64	22.02	21.14	21.58	3.79	5.13
27.36	21.91	21.19	21.55	4.05	5.15
28.08	21.70	21.00	21.35	3.85	5.12
28.80	21.92	21.20	21.56	3.87	5.15
29.52	22.00	21.19	21.59	4.05	5.18
