CardboardOnly_11Aug
8/11/2021 9:19 AM
Time [s]	CA left [°]	CA right [°]	CA mean [°]	Volume [μl]	Baseline [mm]
0.00	84.33	90.17	87.25	3.16	2.16
0.72	92.10	92.62	92.36	4.42	2.44
1.44	92.43	92.56	92.50	4.14	2.50
2.16	93.19	92.39	92.79	4.18	2.50
2.88	91.27	90.83	91.05	3.98	2.50
3.60	92.91	92.87	92.89	4.13	2.50
4.32	91.34	91.09	91.21	3.97	2.50
5.04	94.98	94.65	94.82	4.40	2.50
5.76	91.59	91.44	91.51	4.00	2.50
6.48	93.42	92.69	93.05	4.18	2.50
7.20	95.74	95.66	95.70	4.43	2.49
7.92	94.64	94.39	94.51	4.36	2.50
8.64	92.99	91.97	92.48	4.14	2.50
9.36	91.53	90.72	91.12	3.98	2.50
10.08	92.15	91.62	91.88	4.04	2.50
10.80	95.15	94.69	94.92	4.37	2.49
11.52	93.12	92.54	92.83	4.15	2.50
12.24	94.78	94.34	94.56	4.36	2.50
12.96	91.42	90.92	91.17	3.98	2.50
13.68	92.14	92.38	92.26	4.06	2.50
14.40	92.61	92.10	92.35	4.09	2.50
15.12	92.71	92.28	92.50	4.11	2.50
15.84	92.39	91.50	91.95	4.08	2.50
16.56	93.14	92.68	92.91	4.14	2.50
17.28	94.30	93.89	94.09	4.28	2.49
18.00	93.75	93.84	93.79	4.22	2.49
18.72	92.79	92.10	92.44	4.14	2.50
19.44	92.01	91.76	91.88	4.06	2.50
20.16	94.75	94.15	94.45	4.34	2.49
20.88	96.54	95.08	95.81	4.59	2.49
21.60	91.25	90.64	90.94	3.94	2.50
22.32	93.14	92.82	92.98	4.16	2.50
23.04	95.10	94.75	94.92	4.39	2.49
23.76	90.50	90.07	90.29	3.89	2.50
24.48	91.29	90.97	91.13	3.96	2.50
25.20	95.78	96.97	96.38	4.43	2.49
25.92	98.83	99.74	99.29	4.76	2.47
26.64	91.67	90.95	91.31	3.99	2.50
27.36	94.40	93.92	94.16	4.32	2.49
28.08	93.03	92.46	92.75	4.17	2.50
28.80	96.29	97.92	97.11	4.48	2.48
29.52	91.82	91.17	91.50	3.99	2.50
30.24	91.94	91.26	91.60	4.02	2.50
30.96	94.58	94.23	94.41	4.31	2.49
31.68	96.99	98.15	97.57	4.57	2.48
32.40	91.56	90.80	91.18	3.98	2.50
33.12	93.13	92.53	92.83	4.16	2.50
33.84	92.55	92.12	92.33	4.07	2.50
34.56	94.95	94.50	94.73	4.33	2.49
35.28	91.80	90.97	91.39	4.02	2.50
36.00	92.08	91.24	91.66	4.04	2.50
36.72	91.92	91.61	91.77	4.02	2.50
37.44	94.10	93.52	93.81	4.27	2.49
38.16	93.24	92.68	92.96	4.16	2.49
38.88	94.22	94.05	94.13	4.28	2.49
39.60	97.54	98.14	97.84	4.60	2.48
40.32	94.74	94.44	94.59	4.34	2.49
41.04	92.21	91.92	92.07	4.04	2.49
41.76	93.92	93.61	93.77	4.19	2.49
42.48	96.82	97.93	97.38	4.54	2.48
43.20	93.71	92.96	93.33	4.21	2.49
43.92	91.04	90.60	90.82	3.89	2.49
44.64	91.99	91.43	91.71	4.01	2.50
45.36	90.86	90.12	90.49	3.88	2.49
46.07	92.47	91.68	92.07	4.08	2.50
46.79	90.59	90.19	90.39	3.87	2.49
47.51	90.93	90.70	90.82	3.92	2.49
48.23	95.73	97.05	96.39	4.41	2.48
48.95	93.31	93.14	93.23	4.13	2.49
49.67	95.19	94.66	94.92	4.36	2.49
50.39	91.22	90.93	91.08	3.92	2.49
51.11	97.72	96.60	97.16	4.69	2.48
51.83	94.84	94.02	94.43	4.33	2.49
52.55	94.84	94.41	94.62	4.33	2.49
53.27	94.91	94.11	94.51	4.33	2.49
53.99	91.96	91.94	91.95	4.02	2.49
54.71	92.00	92.40	92.20	4.03	2.49
55.43	92.50	91.95	92.22	4.02	2.49
56.15	91.94	92.05	92.00	4.01	2.49
56.87	94.77	94.63	94.70	4.30	2.49
57.59	94.04	93.81	93.92	4.22	2.49
58.31	92.37	91.50	91.94	4.05	2.49
59.03	94.62	94.22	94.42	4.27	2.49
59.75	91.48	91.26	91.37	3.96	2.49
60.47	93.22	92.75	92.98	4.12	2.49
61.19	91.82	91.07	91.45	3.98	2.49
61.91	91.34	91.00	91.17	3.91	2.49
62.63	93.10	92.66	92.88	4.11	2.49
63.35	92.93	92.56	92.75	4.13	2.49
64.07	95.12	94.99	95.05	4.32	2.49
64.79	96.53	96.75	96.64	4.46	2.48
65.51	91.91	90.77	91.34	3.97	2.49
66.23	92.04	91.80	91.92	4.00	2.49
66.95	93.97	93.69	93.83	4.21	2.49
67.67	92.07	91.71	91.89	3.97	2.49
68.39	94.45	94.07	94.26	4.27	2.49
69.11	90.82	90.44	90.63	3.87	2.49
69.83	95.46	95.20	95.33	4.41	2.49
70.55	95.19	95.03	95.11	4.33	2.48
71.27	90.37	90.38	90.38	3.85	2.49
71.99	93.38	93.17	93.28	4.15	2.49
72.71	93.10	92.71	92.90	4.08	2.49
73.43	92.88	92.37	92.63	4.10	2.49
74.15	92.62	91.86	92.24	4.04	2.49
74.87	93.57	93.68	93.62	4.18	2.49
75.59	94.33	93.79	94.06	4.23	2.49
76.31	97.14	97.98	97.56	4.53	2.47
77.03	93.72	93.06	93.39	4.15	2.49
77.75	93.24	93.17	93.21	4.14	2.49
78.47	97.72	98.71	98.21	4.57	2.47
79.19	90.48	90.44	90.46	3.83	2.49
79.91	96.03	95.75	95.89	4.43	2.48
80.63	92.40	92.04	92.22	4.03	2.49
81.35	91.87	92.12	91.99	3.98	2.49
82.07	93.60	93.99	93.79	4.16	2.49
82.79	93.04	92.57	92.81	4.10	2.49
83.51	92.77	92.19	92.48	4.09	2.49
84.23	92.92	92.81	92.87	4.11	2.49
84.95	93.75	93.19	93.47	4.19	2.49
85.67	97.82	98.75	98.29	4.61	2.47
86.39	91.20	91.02	91.11	3.91	2.49
87.11	94.69	94.39	94.54	4.25	2.48
87.83	90.62	90.59	90.61	3.86	2.49
88.55	98.21	99.22	98.72	4.64	2.47
89.27	93.19	92.68	92.93	4.13	2.49
89.99	90.56	90.01	90.29	3.82	2.49
90.71	92.98	92.31	92.65	4.07	2.49
91.43	93.66	93.27	93.46	4.16	2.49
92.15	92.11	92.50	92.30	4.00	2.49
92.87	93.78	93.73	93.75	4.15	2.48
93.59	94.18	93.90	94.04	4.19	2.48
94.31	92.17	92.20	92.19	4.03	2.49
