Wavelength nm.	109030AL_rublight_26Aug2021_thirdrun_recoat - RawData	109030AL_0.5%SC_Brushtwice_26Aug2021 - RawData	406025AL_S_0.5%SCinCLF_ayakobrush_qzg_26Aug2021_run2 - RawData	ayako_406025AL_dil_run3_aug23 - RawData	Ayako_406025AL_diluted_brushed_23Aug2021_run2 - RawData	Ayako_406025ALdiluted_brushed_0.0003g_23Aug2021 - RawData	109030AL_normalSC_Aug212021_lightrubbing - RawData	1mm_QZG - RawData	Ayako_10907AL_diluted_brushed_1Sep2021 - RawData	Ayako_10907AL_Diluted_brushed_1Sep2021_trial2 - RawData	Ayako_10907AF_Diluted_blushed_0.0005g(2layers)_1Sep2021 - RawData	Ayako_10907AL_diluted_blushed_0.0004g_1Sep2021 - RawData
200.0	8.9	41.5	12.4	1.1	1.1	1.1	13.7	100.0	1.6	1.6	0.1	0.3
200.5	8.9	41.3	12.3	1.1	1.1	1.1	13.7	100.0	1.6	1.6	0.1	0.3
201.0	8.8	41.1	12.3	1.1	1.0	1.1	13.6	100.1	1.5	1.5	0.1	0.3
201.5	8.8	40.9	12.2	1.1	1.0	1.1	13.5	100.0	1.5	1.5	0.1	0.3
202.0	8.7	40.7	12.2	1.1	1.0	1.0	13.5	100.0	1.5	1.5	0.1	0.3
202.5	8.7	40.6	12.1	1.1	1.0	1.0	13.4	100.0	1.5	1.5	0.1	0.3
203.0	8.7	40.5	12.1	1.1	1.0	1.0	13.4	100.0	1.5	1.5	0.1	0.3
203.5	8.7	40.4	12.1	1.1	1.0	1.0	13.4	100.0	1.5	1.5	0.1	0.3
204.0	8.7	40.4	12.1	1.1	1.0	1.0	13.4	100.0	1.5	1.5	0.1	0.3
204.5	8.6	40.4	12.2	1.1	1.0	1.0	13.4	100.0	1.5	1.5	0.1	0.3
205.0	8.7	40.4	12.3	1.1	1.0	1.1	13.5	100.0	1.5	1.5	0.1	0.3
205.5	8.7	40.4	12.3	1.1	1.1	1.1	13.5	100.0	1.6	1.5	0.1	0.3
206.0	8.7	40.5	12.5	1.1	1.1	1.1	13.6	100.0	1.6	1.6	0.1	0.3
206.5	8.7	40.7	12.6	1.2	1.1	1.1	13.7	100.0	1.6	1.6	0.1	0.3
207.0	8.8	40.9	12.7	1.2	1.1	1.2	13.8	100.0	1.7	1.7	0.1	0.3
207.5	8.8	41.1	12.9	1.2	1.2	1.2	13.9	100.0	1.8	1.7	0.1	0.3
208.0	8.9	41.3	13.1	1.3	1.2	1.3	14.0	100.0	1.8	1.8	0.1	0.3
208.5	8.9	41.5	13.3	1.3	1.3	1.3	14.2	100.0	1.9	1.9	0.1	0.4
209.0	9.0	41.8	13.5	1.4	1.3	1.4	14.4	100.0	2.0	2.0	0.1	0.4
209.5	9.1	42.2	13.8	1.5	1.4	1.5	14.5	100.0	2.1	2.1	0.1	0.4
210.0	9.2	42.5	14.0	1.6	1.5	1.5	14.7	100.0	2.2	2.2	0.1	0.4
210.5	9.3	42.9	14.3	1.6	1.5	1.6	14.9	100.0	2.3	2.3	0.1	0.4
211.0	9.4	43.2	14.6	1.7	1.6	1.7	15.1	100.0	2.4	2.4	0.1	0.5
211.5	9.5	43.6	14.9	1.8	1.7	1.8	15.4	100.0	2.5	2.5	0.1	0.5
212.0	9.6	44.0	15.2	1.9	1.8	1.9	15.6	100.0	2.7	2.7	0.1	0.5
212.5	9.7	44.5	15.6	2.1	2.0	2.1	15.9	100.0	2.8	2.8	0.1	0.5
213.0	9.9	44.9	15.9	2.2	2.1	2.2	16.2	100.0	3.0	3.0	0.2	0.6
213.5	10.0	45.4	16.3	2.4	2.3	2.4	16.4	100.0	3.2	3.2	0.2	0.6
214.0	10.1	45.8	16.6	2.5	2.4	2.5	16.7	100.0	3.4	3.3	0.2	0.7
214.5	10.2	46.3	17.0	2.7	2.6	2.7	17.0	100.0	3.5	3.5	0.2	0.7
215.0	10.4	46.7	17.3	2.9	2.8	2.9	17.3	100.0	3.7	3.7	0.2	0.7
215.5	10.5	47.1	17.7	3.1	3.0	3.1	17.6	100.0	3.9	3.9	0.2	0.8
216.0	10.7	47.6	18.0	3.3	3.2	3.3	17.9	100.0	4.1	4.1	0.2	0.8
216.5	10.8	48.0	18.4	3.6	3.4	3.6	18.2	100.0	4.4	4.3	0.2	0.9
217.0	11.0	48.5	18.8	3.8	3.6	3.8	18.5	100.0	4.6	4.6	0.2	0.9
217.5	11.1	48.9	19.1	4.1	3.9	4.1	18.8	100.0	4.8	4.8	0.3	1.0
218.0	11.2	49.3	19.5	4.3	4.1	4.4	19.1	100.0	5.0	5.0	0.3	1.1
218.5	11.4	49.7	19.9	4.6	4.4	4.7	19.4	100.0	5.2	5.2	0.3	1.1
219.0	11.5	50.1	20.2	4.9	4.7	4.9	19.7	100.0	5.5	5.5	0.3	1.2
219.5	11.7	50.5	20.5	5.2	5.0	5.2	20.0	100.0	5.7	5.7	0.3	1.3
220.0	11.8	50.9	20.9	5.5	5.3	5.5	20.3	100.0	5.9	5.9	0.3	1.3
220.5	11.9	51.3	21.2	5.8	5.5	5.8	20.6	100.0	6.2	6.1	0.4	1.4
221.0	12.1	51.6	21.5	6.1	5.8	6.1	20.9	100.0	6.4	6.4	0.4	1.5
221.5	12.2	51.9	21.8	6.3	6.1	6.4	21.2	100.0	6.6	6.6	0.4	1.5
222.0	12.3	52.3	22.1	6.6	6.4	6.7	21.4	100.0	6.8	6.8	0.4	1.6
222.5	12.4	52.6	22.4	6.9	6.6	6.9	21.7	100.0	7.1	7.0	0.4	1.7
223.0	12.6	52.9	22.7	7.1	6.8	7.2	22.0	100.0	7.3	7.3	0.5	1.7
223.5	12.7	53.2	23.0	7.3	7.1	7.4	22.2	100.0	7.5	7.5	0.5	1.8
224.0	12.8	53.5	23.3	7.5	7.3	7.6	22.4	100.0	7.7	7.7	0.5	1.9
224.5	12.9	53.7	23.5	7.7	7.4	7.8	22.7	100.0	7.9	7.9	0.5	1.9
225.0	13.0	54.0	23.8	7.9	7.6	7.9	22.9	100.0	8.1	8.1	0.5	2.0
225.5	13.1	54.2	24.0	8.0	7.8	8.1	23.1	100.0	8.3	8.2	0.5	2.1
226.0	13.2	54.5	24.2	8.2	7.9	8.2	23.3	100.0	8.5	8.4	0.6	2.1
226.5	13.3	54.7	24.5	8.3	8.0	8.4	23.5	100.0	8.7	8.6	0.6	2.2
227.0	13.4	54.9	24.7	8.4	8.1	8.5	23.7	100.0	8.8	8.8	0.6	2.3
227.5	13.4	55.2	24.9	8.5	8.2	8.6	23.9	100.0	9.0	9.0	0.6	2.3
228.0	13.5	55.4	25.1	8.6	8.3	8.7	24.1	100.0	9.2	9.1	0.6	2.4
228.5	13.6	55.6	25.3	8.7	8.4	8.8	24.3	100.0	9.4	9.3	0.6	2.4
229.0	13.7	55.7	25.5	8.8	8.5	8.9	24.4	100.0	9.5	9.5	0.7	2.5
229.5	13.8	55.9	25.7	8.9	8.6	9.0	24.6	100.0	9.7	9.6	0.7	2.6
230.0	13.8	56.1	25.9	9.0	8.7	9.0	24.8	100.0	9.9	9.8	0.7	2.6
230.5	13.9	56.3	26.1	9.1	8.8	9.1	24.9	100.0	10.0	10.0	0.7	2.7
231.0	14.0	56.5	26.3	9.1	8.8	9.2	25.1	100.0	10.2	10.2	0.7	2.8
231.5	14.1	56.7	26.5	9.2	8.9	9.3	25.3	100.0	10.4	10.3	0.7	2.8
232.0	14.2	56.9	26.8	9.3	9.0	9.4	25.5	100.0	10.6	10.5	0.8	2.9
232.5	14.2	57.1	27.0	9.4	9.1	9.5	25.6	100.0	10.7	10.7	0.8	3.0
